dataset,horizon_min,horizon_obs,tau,pinball_loss,n_containers,n_predictions
alibaba,10,2,0.5,0.39763885736465454,4999,9998
alibaba,10,2,0.7,0.35450536012649536,4999,9998
alibaba,10,2,0.8,0.31066542863845825,4999,9998
alibaba,10,2,0.9,0.23711954057216644,4999,9998
alibaba,10,2,0.95,0.16996465623378754,4999,9998
alibaba,30,6,0.5,0.6106677055358887,4998,29988
alibaba,30,6,0.7,0.5537621974945068,4998,29988
alibaba,30,6,0.8,0.4789261519908905,4998,29988
alibaba,30,6,0.9,0.34736955165863037,4998,29988
alibaba,30,6,0.95,0.237896129488945,4998,29988
alibaba,60,12,0.5,0.7193706631660461,4998,59976
alibaba,60,12,0.7,0.6897755265235901,4998,59976
alibaba,60,12,0.8,0.6082034111022949,4998,59976
alibaba,60,12,0.9,0.44660264253616333,4998,59976
alibaba,60,12,0.95,0.3050299286842346,4998,59976
alibaba,120,24,0.5,0.7451724410057068,4998,119952
alibaba,120,24,0.7,0.7388356328010559,4998,119952
alibaba,120,24,0.8,0.654606282711029,4998,119952
alibaba,120,24,0.9,0.473944753408432,4998,119952
alibaba,120,24,0.95,0.3203285336494446,4998,119952
bitbrains,10,2,0.5,3.4058351516723633,142,284
bitbrains,10,2,0.7,3.447439193725586,142,284
bitbrains,10,2,0.8,2.676793336868286,142,284
bitbrains,10,2,0.9,1.5353025197982788,142,284
bitbrains,10,2,0.95,0.8718778491020203,142,284
bitbrains,30,6,0.5,8.38022518157959,142,852
bitbrains,30,6,0.7,5.484677791595459,142,852
bitbrains,30,6,0.8,3.859344005584717,142,852
bitbrains,30,6,0.9,2.1216769218444824,142,852
bitbrains,30,6,0.95,1.2775423526763916,142,852
bitbrains,60,12,0.5,11.425036430358887,142,1704
bitbrains,60,12,0.7,9.99747371673584,142,1704
bitbrains,60,12,0.8,7.513688087463379,142,1704
bitbrains,60,12,0.9,4.858964443206787,142,1704
bitbrains,60,12,0.95,3.9063720703125,142,1704
bitbrains,120,24,0.5,13.05506706237793,142,3408
bitbrains,120,24,0.7,13.756292343139648,142,3408
bitbrains,120,24,0.8,12.006669044494629,142,3408
bitbrains,120,24,0.9,8.015288352966309,142,3408
bitbrains,120,24,0.95,4.791495323181152,142,3408
bytedance,10,1,0.5,0.657637357711792,93,93
bytedance,10,1,0.7,0.6690449118614197,93,93
bytedance,10,1,0.8,0.5693562626838684,93,93
bytedance,10,1,0.9,0.38300439715385437,93,93
bytedance,10,1,0.95,0.23195931315422058,93,93
bytedance,30,3,0.5,0.8090025186538696,93,279
bytedance,30,3,0.7,0.7377793788909912,93,279
bytedance,30,3,0.8,0.5935350656509399,93,279
bytedance,30,3,0.9,0.3962746262550354,93,279
bytedance,30,3,0.95,0.2618635594844818,93,279
bytedance,60,6,0.5,1.0160149335861206,93,558
bytedance,60,6,0.7,0.9099411368370056,93,558
bytedance,60,6,0.8,0.7159534096717834,93,558
bytedance,60,6,0.9,0.4594082236289978,93,558
bytedance,60,6,0.95,0.27829796075820923,93,558
bytedance,120,12,0.5,1.1087366342544556,93,1116
bytedance,120,12,0.7,0.9492047429084778,93,1116
bytedance,120,12,0.8,0.7607238292694092,93,1116
bytedance,120,12,0.9,0.4795880615711212,93,1116
bytedance,120,12,0.95,0.28017687797546387,93,1116
