container_id,dataset,horizon,horizon_min,label,best_r2,second_best_r2,margin,n_candidates,nnls,chronos2,timesfm,granite_ttm
bb_1005,bitbrains,h010,10,chronos2,0.8770080329182156,0.6971617785806898,0.17984625433752577,4,0.5351669648561587,0.8770080329182156,0.6971617785806898,0.4733621612689113
bb_1005,bitbrains,h030,30,chronos2,0.8408706154388849,0.5379186979022269,0.30295191753665796,4,0.41704761321607,0.8408706154388849,0.5379186979022269,0.08845653016046562
bb_1005,bitbrains,h060,60,chronos2,0.358294461125635,0.1285022979406686,0.22979216318496642,4,0.1285022979406686,0.358294461125635,-0.15326185611067222,-0.4848158127795372
bb_1005,bitbrains,h120,120,timesfm,0.1463766463455083,0.14465933066983472,0.0017173156756735697,4,-1.384825642639921,0.14465933066983472,0.1463766463455083,-0.3984919904354425
bb_1007,bitbrains,h010,10,chronos2,0.8268623426014199,0.7019442973527554,0.12491804524866446,4,0.19458685563799039,0.8268623426014199,0.7019442973527554,-3.475450849019741
bb_1007,bitbrains,h030,30,timesfm,0.04379422021786494,0.028100353619981533,0.01569386659788341,4,-2.417458021302047,0.028100353619981533,0.04379422021786494,-0.9266853922891418
bb_1007,bitbrains,h060,60,chronos2,0.11335040825201848,0.10463796813596615,0.008712440116052322,4,-9.14351563449974,0.11335040825201848,0.10463796813596615,-1.2420169565993064
bb_1007,bitbrains,h120,120,timesfm,0.05956456679545108,0.05539603650502789,0.004168530290423189,4,-5.390337497745323,0.05539603650502789,0.05956456679545108,-2.399282560896452
bb_183,bitbrains,h010,10,nnls,0.22022020238461137,0.1498897661504317,0.07033043623417967,4,0.22022020238461137,0.13169180955646909,0.022411570892286736,0.1498897661504317
bb_183,bitbrains,h030,30,timesfm,0.024763436137957617,-0.17202157272340401,0.19678500886136163,4,-0.9253960390251537,-0.25907931503936,0.024763436137957617,-0.17202157272340401
bb_183,bitbrains,h060,60,nnls,-0.11221322098549602,-0.14534653725392088,0.03313331626842486,4,-0.11221322098549602,-0.1742506417918792,-0.14534653725392088,-0.2972452275192552
bb_183,bitbrains,h120,120,chronos2,-0.14061778555289473,-0.45659650805528607,0.31597872250239134,4,-0.9016242487331538,-0.14061778555289473,-0.45659650805528607,-1.2885463611488195
bb_184,bitbrains,h010,10,granite_ttm,0.08661471294165957,0.042356060769398796,0.04425865217226077,4,0.042356060769398796,0.00643817996728524,-0.1587161609327279,0.08661471294165957
bb_184,bitbrains,h030,30,timesfm,-0.014426628594076618,-0.25793685556803414,0.24351022697395752,4,-1.3746130574447624,-0.25793685556803414,-0.014426628594076618,-0.37702098251129224
bb_184,bitbrains,h060,60,chronos2,-0.11627963139533026,-0.13436222718073787,0.018082595785407607,4,-0.1467838879391714,-0.11627963139533026,-0.13436222718073787,-0.3056932023204395
bb_184,bitbrains,h120,120,chronos2,-0.25176679910390076,-0.3814781187607619,0.1297113196568611,4,-1.7474340703069422,-0.25176679910390076,-0.3814781187607619,-1.4370037293331817
bb_185,bitbrains,h010,10,chronos2,0.35631477201390216,0.3109090558386577,0.04540571617524447,4,0.3109090558386577,0.35631477201390216,0.06741034207854824,0.2438324877475252
bb_185,bitbrains,h030,30,chronos2,0.11153245538721179,-0.053348035598976384,0.16488049098618818,4,-0.5808405712262141,0.11153245538721179,-0.053348035598976384,-0.19865109383158708
bb_185,bitbrains,h060,60,chronos2,-0.09509330672399208,-0.09786428657285828,0.0027709798488662063,4,-0.1293683558297638,-0.09509330672399208,-0.09786428657285828,-0.19576510697594363
bb_185,bitbrains,h120,120,timesfm,-0.2997830125126011,-0.3266434744426767,0.02686046193007563,4,-1.6955903464015663,-0.3266434744426767,-0.2997830125126011,-0.7309453910145665
bb_186,bitbrains,h010,10,nnls,0.45092128144375054,0.2700897850042221,0.18083149643952845,4,0.45092128144375054,0.2700897850042221,0.09017513371861208,0.17356710907236905
bb_186,bitbrains,h030,30,timesfm,-0.00912794547959761,-0.23188772840632677,0.22275978292672916,4,-1.1904141563963093,-0.3425004001927303,-0.00912794547959761,-0.23188772840632677
bb_186,bitbrains,h060,60,timesfm,-0.16154285511839395,-0.2196721985581065,0.058129343439712544,4,-0.3856922417903943,-0.2196721985581065,-0.16154285511839395,-0.3758258367272933
bb_186,bitbrains,h120,120,timesfm,-0.36791058397652354,-0.42481356430280637,0.056902980326282826,4,-2.625615134727979,-0.42481356430280637,-0.36791058397652354,-0.7089686957333077
bb_187,bitbrains,h010,10,granite_ttm,0.13935794944367008,0.0495167388128499,0.08984121063082018,4,0.0495167388128499,0.0333839171067275,-0.09668750573056073,0.13935794944367008
bb_187,bitbrains,h030,30,timesfm,0.011306799201980855,-0.22091193645986706,0.23221873566184792,4,-0.8569360366355441,-0.22091193645986706,0.011306799201980855,-0.30624235899169494
bb_187,bitbrains,h060,60,timesfm,-0.1492028648060244,-0.2111375571221903,0.061934692316165885,4,-0.22267066898309862,-0.2111375571221903,-0.1492028648060244,-0.3613016560817246
bb_187,bitbrains,h120,120,chronos2,-0.20711509838324216,-0.2890695503787206,0.08195445199547846,4,-1.1908820899396084,-0.20711509838324216,-0.2890695503787206,-1.153730890940495
bb_188,bitbrains,h010,10,timesfm,0.2895486744648562,0.20873902518907517,0.08080964927578105,4,-0.3191930082216219,0.20873902518907517,0.2895486744648562,0.1829555229555314
bb_188,bitbrains,h030,30,timesfm,0.103974761732613,-0.011519531426519736,0.11549429315913273,4,-0.6052536821269927,-0.011519531426519736,0.103974761732613,-0.22866221743794113
bb_188,bitbrains,h060,60,timesfm,-0.04222639082062951,-0.11052236796987125,0.06829597714924174,4,-0.11052236796987125,-0.15030301238232946,-0.04222639082062951,-0.33307652194094906
bb_188,bitbrains,h120,120,timesfm,-0.10351777428264852,-0.3045703439696896,0.2010525696870411,4,-10.03116722207441,-0.3045703439696896,-0.10351777428264852,-10.067312399479759
bb_189,bitbrains,h010,10,nnls,0.33557770165185274,0.2807355410519742,0.054842160599878564,4,0.33557770165185274,0.2807355410519742,0.13138204956902488,0.21579299530935203
bb_189,bitbrains,h030,30,timesfm,0.02966361821706809,0.007260555269421154,0.022403062947646935,4,-1.1810071781412814,-0.5725539179172237,0.02966361821706809,0.007260555269421154
