container_id,n_points,wpe_m4_t1
c_10032,2301,0.5932029750807423
c_10036,2302,0.44187213818235715
c_1005,2297,0.5728422922309091
c_10065,2300,0.50978522437717
c_10076,2291,0.6492284419677342
c_10082,2304,0.5547951320011032
c_10104,2288,0.5760502796175301
c_10105,2300,0.4710906981551135
c_10109,2292,0.5630487415849635
c_10137,2304,0.5353023714018696
c_1017,2287,0.4175381379110762
c_10175,2295,0.6317220724105401
c_10188,2299,0.6065342081519559
c_10203,2291,0.5916879803683589
c_10214,2248,0.5139163427632557
c_10215,2303,0.6266056650577597
c_1024,2287,0.6009432464730105
c_10241,2300,0.6070543682741893
c_10249,2292,0.5661372770781964
c_10256,2288,0.5423733460901375
c_10260,2286,0.5609006892777847
c_10261,2302,0.5456080733573014
c_10264,2292,0.44538807033320527
c_10267,2291,0.49814879643236465
c_10318,2302,0.6145596111758082
c_10326,855,0.6032738938651914
c_10335,2302,0.5468736782638924
c_10351,2292,0.5338672524908452
c_10355,2262,0.506087513265007
c_10412,2303,0.5284377657706673
c_10415,2302,0.5801163420808035
c_10417,2302,0.5932833506930483
c_10429,2299,0.6105150442989686
c_10435,2295,0.5666159394783995
c_10439,2301,0.49526031600804304
c_10441,2300,0.5472820374568009
c_10452,2260,0.5316331414990678
c_10457,2297,0.609235684714861
c_10459,576,0.46858641603988016
c_10467,2298,0.4973334110085357
c_10483,2302,
c_10518,2300,0.4624463418000215
c_10527,2302,0.5345542280043372
c_10587,2286,0.5585325377567796
c_10588,2301,0.5250633785198526
c_1060,2287,0.4817213298997764
c_10603,2295,0.573571822130592
c_10605,2300,0.5830501528286894
c_10619,2294,0.6198740163189431
c_10620,2303,0.5688811440303307
c_10632,2281,0.5795361207905658
c_10654,2297,0.6157523659820476
c_10663,2288,0.45526713400588453
c_10672,2292,0.5730294243918963
c_10677,2299,0.6039482932057018
c_10684,2261,0.5288997878905718
c_10704,2294,0.5951623652357597
c_10728,2288,0.5728958764080483
c_10749,2300,0.5426214576302928
c_10775,2287,0.5698760036019459
c_10810,2286,0.5386775084336465
c_10813,2011,0.5249900325300904
c_10816,2290,0.603916142684555
c_10821,2295,0.5803631792808323
c_10822,2303,0.6222858294646804
c_10824,2304,0.4951387283578173
c_10838,2288,0.5971998650070068
c_10844,2294,0.5362170016560032
c_10854,2302,0.5414773596555649
c_10870,2302,
c_10875,2304,0.5472468201401104
c_10903,2253,0.6122877191390498
c_1091,2299,0.5773795577958133
c_10910,2294,0.5549733020334263
c_10929,2248,0.5622506683223968
c_10950,2295,0.522436147798067
c_10965,2299,0.5093559748989286
c_10968,2275,0.5899036466511354
c_10987,2296,0.5878791803160482
c_10995,2246,
c_10999,2300,0.6085913855099979
c_11007,2300,0.6059381501689118
c_11015,2292,0.6261912459780633
c_11019,2304,0.5884787260083684
c_11059,2302,0.5714699802497707
c_1108,2299,0.6016250853183287
c_11113,863,0.5798962048690347
c_11124,2282,0.5466179454548938
c_11125,2286,
c_11133,2301,0.6239364821965809
c_11138,2293,0.6068598389987653
c_1114,2299,0.5456684252738113
c_11178,856,0.6150201786865414
c_11179,2286,0.5783485621319029
c_11203,2303,0.5961587350163055
c_11210,2302,0.5125025774360141
c_11227,2299,0.5951110295426117
c_11240,2271,0.5399859178909193
c_11243,2295,0.48248245076495533
c_11245,2293,0.6187000281994485
c_11246,1715,0.5819925672281581
c_11250,2303,0.6042299335997355
c_11264,2295,0.5059338384772956
c_11271,848,0.5119901484552548
c_11273,861,0.560625495020886
c_11277,2295,0.5976243393838226
c_11286,2302,0.5518076770113824
c_11337,2301,0.5512613565434393
c_11349,2283,0.55330327237972
c_11359,2298,0.5976576380975549
c_1137,2292,0.5649924156619504
c_11380,2300,0.5193183831973998
c_11418,2302,0.5185737163156335
c_11430,2304,0.48223575368012245
c_11433,2234,0.6308197320589334
c_1144,2300,0.5770232184520512
c_11450,2296,0.6020547725497903
c_11455,2303,0.5849184521326938
c_11459,2301,0.612005411777986
c_11473,2301,0.5982250991467395
c_11502,863,0.5035172086642995
c_11505,2295,0.5604226500583677
c_11517,2296,0.4655660097372307
c_11523,2280,0.5507794748127564
c_11532,2301,0.5388921047085372
c_11533,2276,0.5485272611057954
c_11539,2300,0.6371889808210819
c_11540,2302,0.5347455061750735
c_11550,2295,0.48514263039089855
c_11555,2301,0.6023126926810077
c_11564,2302,0.5703874436543186
c_11567,2304,0.6850980249634328
c_11585,2300,0.5148370456204586
c_11589,2303,0.570617647495673
c_11591,2302,0.6310197198892981
c_11601,2302,0.5166024201455566
c_11624,850,0.5225151577757983
c_1163,2290,0.6014510432372819
c_11634,2281,0.5767188375497304
c_11642,854,0.5818679781581526
c_11655,2302,0.4587754303510769
c_1166,2300,0.6170920891915092
c_11680,2291,0.5754446922602631
c_11687,2295,0.6111609732381676
c_11730,2302,0.6190222575595666
c_11732,569,0.5978128618030505
c_11737,2290,0.5893443109329731
c_11739,2293,
c_11751,2283,0.5695514510298587
c_11759,857,0.6830957962723176
c_1177,2295,0.5565283237840714
c_11781,2290,0.545290477250483
c_11787,2240,0.5922400257507121
c_11802,2297,0.6241331064795363
c_11809,2299,0.45753787952284847
c_11812,2301,
c_11820,572,0.6283990173185441
c_11821,2301,0.5568840953751882
c_11843,2300,0.5955122762390529
c_11857,2285,0.5695549929898109
c_11864,2292,0.49264960151677856
c_11889,2303,0.528726567010574
c_11917,2301,0.5621122597330104
c_1194,2298,0.44304024552995885
c_1195,856,0.6442742587071097
c_11985,2292,0.6034843441514182
c_11999,2276,0.669624550627244
c_12,859,0.5983731977122123
c_12008,2303,0.6424228135620075
c_1203,2302,0.5834048615970442
c_12035,2302,0.5677832643064393
c_12074,2297,0.5776623087914803
c_12078,2251,0.3362428979288771
c_12084,2303,0.5628876671508852
c_12111,2276,0.5974985123574887
c_1214,2282,0.5283597919883906
c_12141,2298,0.4609459622178092
c_12176,2290,0.5258081890533455
c_12183,2292,0.5773041697051889
c_12209,2293,0.5927312168345457
c_12212,2287,0.5565926468976313
c_12223,2299,0.5871819230399774
c_12238,2285,0.5027867741128871
c_12251,2294,0.5720348273703395
c_12254,2301,0.4717600227593009
c_12260,2303,0.5954328777382608
c_12264,2293,0.6217440379977105
c_12272,2292,0.6186035656768525
c_12281,2298,0.6019873923105059
c_12282,2293,0.5775296877604722
c_12293,2280,0.5468834439349524
c_12362,2278,0.5159669181613317
c_12375,2299,0.5329726461990791
c_12425,2285,0.5868645573792735
c_12436,2288,0.548670290909632
c_12448,2302,0.41843978715197405
c_1245,2245,0.6404503841168165
c_12451,846,0.5289960282919066
c_12462,2294,0.49660053456276265
c_12471,2280,0.5336712676914539
c_12481,2292,0.5845891605670676
c_12499,2291,0.503490934999882
c_12514,2301,0.5883654248343471
c_12526,2301,0.611698234864921
c_12536,2304,0.587383262796588
c_12545,2285,0.5390731466994881
c_1255,2294,0.5927763149693489
c_1256,2300,0.5585915134680912
