dataset,horizon,n,n_containers,r2_naive,r2_v2,r2_v2_ci_lo,r2_v2_ci_hi,r2_v3,r2_v3_ci_lo,r2_v3_ci_hi,bias_v2,bias_v2_ci_lo,bias_v2_ci_hi,bias_v3,bias_v3_ci_lo,bias_v3_ci_hi,dpp_v2,dpp_v2_ci_lo,dpp_v2_ci_hi,dpp_v3,dpp_v3_ci_lo,dpp_v3_ci_hi
alibaba,10min,1670443,4921,0.918776987830391,0.9243313570496019,0.9162428420873188,0.9314449007568455,0.9243649489279518,0.9162779675782485,0.9314763613395299,0.06164488530105086,0.05769688071044072,0.06586406807754266,0.028692783828025457,0.024741701655442445,0.03291838092660496,0.5554369219210931,0.4858555005687071,0.6317547087976019,0.5587961097560878,0.48890595634270173,0.6353581095903488
alibaba,120min,1562181,4921,0.7178423049755908,0.8112056508677097,0.7966457791860306,0.8245913875530468,0.8119523450615211,0.7974327356702602,0.8253164900657878,0.42453607021384965,0.40332715042815076,0.44803171241712564,0.05484916625984513,0.03330892934868117,0.07864781931411634,9.336334589211893,8.611204861918617,10.088437780780824,9.411004008593038,8.687121504312184,10.169459327244345
alibaba,30min,1650759,4921,0.8361119195039157,0.8699843533261975,0.857964673875964,0.8814456007875902,0.8702938652275627,0.8583056355602121,0.8817328537417636,0.2436824875863444,0.23165196093515872,0.2546803658463872,0.16128330091768323,0.149200518076506,0.1723417559924667,3.387243382228178,2.9910452390040905,3.757147955153943,3.4181945723646967,3.0195893396419624,3.7905924744450243
alibaba,60min,1621233,4921,0.7877774259852471,0.8442813715104334,0.8307885398154702,0.8569507412295339,0.8446349807946393,0.8311548362198325,0.8572927845237663,0.3362155992661115,0.3208902226496567,0.35367733735061,0.27342309163429,0.25807224670941903,0.29092911839500696,5.650394552518623,5.109752526540007,6.228265109462788,5.685755480939214,5.1431212571725995,6.26546687651335
bitbrains,10min,203536,142,0.7945924607537587,0.8042932340146703,0.7879895405085598,0.8204637490889655,0.8043861001967453,0.7880805416971033,0.8205532461479418,0.5024087440877839,0.29586292053036384,0.702260129105936,0.30629881339776543,0.09941121322946683,0.5065077051015653,0.9700773260911677,0.7602919998978456,1.183090922657935,0.9793639442986612,0.7643099178805929,1.1948467790429664
bitbrains,120min,200412,142,0.07549963599061638,0.06288768037899484,0.014733148495914245,0.11499709990112944,0.06259089777293136,0.014429299817798143,0.11461548599978912,-1.5654837880861547,-1.9657287474508824,-1.1512161306713757,-1.9101999535640024,-2.310213516148742,-1.4959873577604546,-1.261195561162154,-2.9063718288103155,0.306312796857428,-1.2908738217685012,-2.95065776331793,0.28224568609653683
bitbrains,30min,202968,142,0.4966767416061967,0.5413542259917558,0.5081689892755498,0.571983722153985,0.5412862896332725,0.5081071172320866,0.5718818498153577,-0.3964403943850366,-0.6258397174229964,-0.1728270215485537,-0.6429940679591065,-0.8723279327149969,-0.4194648385696498,4.467748438555907,3.539007233802821,5.416972437868729,4.460954802707584,3.52483548498369,5.415750299661281
bitbrains,60min,202116,142,0.18846808643808344,0.20755189195847168,0.1553893660744759,0.2611189088654419,0.20717696369660643,0.1548842201261542,0.2605575316927639,-1.182636609045726,-1.4348200176640002,-0.9164103089847289,-1.595024665816948,-1.8471687067533797,-1.329088769558474,1.9083805520388242,0.3848283222319485,3.8051748936788337,1.8708877258522993,0.335731575150661,3.7745551109467637
bytedance,120min,63240,93,0.6470777219251957,0.9013513275004235,0.7861611943036342,0.9539269780387165,0.9013285136545679,0.7861348532252443,0.9539115035920839,0.1293431793799208,0.027709377299211416,0.2369612555029618,0.15682078835637478,0.05520538579087056,0.2644326689768872,25.42736055752277,4.9725193588493255,64.55351650338748,25.425079172937217,4.970956469930483,64.54960915516583
bytedance,30min,64077,93,0.7461885457308515,0.9452660464747292,0.8843113230504642,0.9735293816390579,0.9452647286028607,0.8843034545069088,0.9735240278809871,-0.03888904656030761,-0.09824251186907845,0.02364950350906033,-0.00945357901617645,-0.0688054900217904,0.05308482738427666,19.907750074387774,6.515044080110804,47.14334062355382,19.907618287200922,6.515371249985421,47.14300523302508
bytedance,60min,63798,93,0.7019219202560019,0.9204653460230974,0.8334010881932957,0.9629809587469849,0.9204611586878255,0.8334097387202684,0.9629766035133427,0.02366312879305319,-0.044920730260562654,0.0892090353851311,0.04883625181805233,-0.019775307493060036,0.11438701812008653,21.854342576709552,5.60006947523844,53.225109446701175,21.853923843182365,5.598958539596468,53.223022404724574
