dataset,horizon,n,acf_24h,r2_naive,r2_old,r2_new,dpp_new_vs_naive,dpp_new_vs_old,dpp_old_vs_naive
bitbrains,10min,203536,0.116,0.7946,0.7983,0.8043,0.97,0.6,0.37
bitbrains,30min,202968,0.116,0.4967,0.5262,0.5414,4.47,1.52,2.95
bitbrains,60min,202116,0.116,0.1885,0.1633,0.2076,1.91,4.43,-2.52
bitbrains,120min,200412,0.116,0.0755,-0.0158,0.0629,-1.26,7.87,-9.13
alibaba,10min,1670443,0.316,0.9188,0.9214,0.9243,0.55,0.29,0.26
alibaba,30min,1650759,0.316,0.8361,0.8404,0.87,3.39,2.96,0.43
alibaba,60min,1621233,0.316,0.7878,0.8011,0.8443,5.65,4.32,1.33
alibaba,120min,1562181,0.316,0.7178,0.7642,0.8112,9.34,4.7,4.64
bytedance,30min,64077,0.489,0.7462,0.8014,0.9453,19.91,14.39,5.52
bytedance,60min,63798,0.489,0.7019,0.7629,0.9205,21.86,15.76,6.1
bytedance,120min,63240,0.489,0.6471,0.7601,0.9014,25.43,14.13,11.3
