horizon,acf_quartile,n_containers,mae_naive_median,mae_ensemble_median,skill_median,skill_mean,ens_win_pct
10min,Q1 (low),1083,0.37829912,0.4264498597364261,-0.1387607618343859,-0.186987985007102,0.0
10min,Q2,1078,0.58309036,0.6610035022643448,-0.1299201429376956,-0.1499749273847935,0.0
10min,Q3,1080,0.83283883,0.940501914981746,-0.12048088786426325,-0.13768005487025367,0.0
10min,Q4 (high),1081,0.88856304,1.0027657225241307,-0.12849808501522517,-0.1461715180386497,0.0
120min,Q1 (low),1083,0.863354,0.9504577097383969,-0.06835331123116159,-0.17952835979907378,5.8171745152354575
120min,Q2,1078,1.4330218,1.5032219923031378,-0.045879199630845,-0.07920358176735535,27.087198515769945
120min,Q3,1080,2.6957798,2.43392165479775,0.06914192651988055,0.07416147772401527,75.46296296296296
120min,Q4 (high),1081,3.9221184,2.769674290374909,0.26044893923119383,0.25557802080124425,97.40980573543015
30min,Q1 (low),1083,0.6993865,0.7327040331669736,-0.04112006568340824,-0.08724237216859122,0.6463527239150507
30min,Q2,1078,1.0944498,1.1578576413788695,-0.03987936953373116,-0.05865295256230914,2.411873840445269
30min,Q3,1080,1.6873946,1.7140168642663367,-0.025212707776248212,-0.033654791344091065,18.98148148148148
30min,Q4 (high),1081,1.852071,1.818845231413907,0.006104984005292944,0.005646533798983545,57.076780758556886
60min,Q1 (low),1083,0.8231707,0.8764290422310208,-0.04922363579829374,-0.11362842608167519,2.954755309325946
60min,Q2,1078,1.2995523,1.352930131368355,-0.039180700321296905,-0.06363864799895037,15.306122448979592
60min,Q3,1080,2.1656628,2.1309727468478767,0.008137968528146071,0.008870968914306878,55.55555555555556
60min,Q4 (high),1081,2.6708465,2.3066893053303947,0.11302179223581812,0.11715235909337553,92.13691026827013
