Horizon,Model,Mean_W,Std_W,Frac_Zero,Min_W,Max_W
10min,XGB,0.0162,0.0172,0.34,0.0,0.0692
10min,LGB,0.0,0.0,1.0,0.0,0.0
10min,ET,0.3348,0.0207,0.0,0.2845,0.3979
10min,BiLSTM,0.649,0.0248,0.0,0.5914,0.7155
30min,XGB,0.0168,0.0182,0.345,0.0,0.0762
30min,LGB,0.1252,0.021,0.0,0.0502,0.1789
30min,ET,0.4383,0.0177,0.0,0.3938,0.495
30min,BiLSTM,0.4197,0.0164,0.0,0.3755,0.4568
60min,XGB,0.0015,0.0038,0.765,0.0,0.0289
60min,LGB,0.075,0.0112,0.0,0.0492,0.1014
60min,ET,0.5692,0.0096,0.0,0.5401,0.6029
60min,BiLSTM,0.3543,0.0082,0.0,0.329,0.3764
120min,XGB,0.0,0.0,0.995,0.0,0.0002
120min,LGB,0.0089,0.0058,0.08,0.0,0.0314
120min,ET,0.5702,0.0064,0.0,0.554,0.586
120min,BiLSTM,0.4209,0.005,0.0,0.4063,0.4326
