dataset,horizon_min,C_u_over_C_o,naive_cost,ensemble_cost,ensemble_beats_naive,savings_pct
Alibaba,10,1,57.92487335205078,65.17633378327518,False,-12.518733337839349
Alibaba,10,2,86.49591064453125,97.9078327357901,False,-13.19359725358342
Alibaba,10,3,115.06694793701172,130.63933168830502,False,-13.533324756139104
Alibaba,10,5,172.20904541015625,196.10232959333487,False,-13.87458139975816
Alibaba,10,10,315.0642395019531,359.7598243559095,False,-14.186181498925485
Alibaba,30,1,113.39115905761719,115.58660787659849,False,-1.93617283501418
Alibaba,30,2,169.09226989746094,173.6532803903811,False,-2.6973500892063242
Alibaba,30,3,224.7933807373047,231.71995290416373,False,-3.081306106140862
Alibaba,30,5,336.19561767578125,347.85329793172895,False,-3.4675289156178337
Alibaba,30,10,614.701171875,638.186660500642,False,-3.82063508257274
Alibaba,60,1,143.17098999023438,138.4400629457191,True,3.304389419139993
Alibaba,60,2,213.22402954101562,207.31247414674903,True,2.77246209397307
Alibaba,60,3,283.2770690917969,276.184885347779,True,2.5036208425750175
Alibaba,60,5,423.3831481933594,413.9297077498388,True,2.2328334237817034
Alibaba,60,10,773.6483154296875,758.2917637549886,True,1.9849525124564973
Alibaba,120,1,172.67926025390625,153.49835803103082,True,11.107820472865114
Alibaba,120,2,256.8453674316406,227.59637454558228,True,11.38778292111613
Alibaba,120,3,341.011474609375,301.69439106013374,True,11.529548556768818
Alibaba,120,5,509.34368896484375,449.8904240892366,True,11.672524105763637
Alibaba,120,10,930.1742553710938,820.3805066619939,True,11.80356778045825
Bitbrains,10,1,52.22130584716797,65.08407147338278,False,-24.631260014560464
Bitbrains,10,2,78.31622314453125,94.3903155700335,False,-20.524601136392626
Bitbrains,10,3,104.41114807128906,123.69655966668424,False,-18.470644132969046
Bitbrains,10,5,156.60098266601562,182.30904785998567,False,-16.41628600045114
Bitbrains,10,10,287.0755615234375,328.84026834323925,False,-14.548332361754163
Bitbrains,30,1,100.18023681640625,118.05007210817082,False,-17.837685215811028
Bitbrains,30,2,150.27978515625,171.44387348608973,False,-14.083123893100357
Bitbrains,30,3,200.3793182373047,224.8376748640087,False,-12.2060284673384
Bitbrains,30,5,300.5783996582031,331.6252776198465,False,-10.329044933683761
Bitbrains,30,10,551.0761108398438,598.5942845094411,False,-8.622796875948643
Bitbrains,60,1,146.40887451171875,172.97626711537544,False,-18.146026115056433
Bitbrains,60,2,219.88479614257812,250.74666746564037,False,-14.035473058833377
Bitbrains,60,3,293.3607177734375,328.5170678159053,False,-11.9840005537548
Bitbrains,60,5,440.31256103515625,484.05786851643506,False,-9.935057809487752
Bitbrains,60,10,807.692138671875,872.9098702677595,False,-8.074577982537381
Bitbrains,120,1,163.5279083251953,205.43112943174066,False,-25.624507483588456
Bitbrains,120,2,246.58840942382812,293.19710989965733,False,-18.901415757834624
Bitbrains,120,3,329.64892578125,380.96309036757407,False,-15.56630723570911
Bitbrains,120,5,495.7699279785156,556.4950513034073,False,-12.248650008381151
Bitbrains,120,10,911.0724487304688,995.3249536429907,False,-9.24761856534279
ByteDance,10,1,16.63473129272461,14.120159351934962,True,15.11639651125248
ByteDance,10,2,24.954185485839844,21.196961294079674,True,15.056488996173375
ByteDance,10,3,33.27363967895508,28.27376323622439,True,15.026538998957218
ByteDance,10,5,49.91254806518555,42.42736712051381,True,14.99659150820377
ByteDance,10,10,91.50981903076172,77.81137683123737,True,14.969368691374548
ByteDance,30,1,17.19952392578125,16.24809164066329,True,5.531736164463304
ByteDance,30,2,25.829429626464844,24.48828251580698,True,5.1923218207022455
ByteDance,30,3,34.45933151245117,32.72847339095067,True,5.022901041696335
ByteDance,30,5,51.719139099121094,49.20885514123805,True,4.8536847318205
ByteDance,30,10,94.86865997314453,90.4098095169565,True,4.700024705155786
ByteDance,60,1,18.196327209472656,17.43073355965305,True,4.207407577398661
ByteDance,60,2,27.36691665649414,26.415326537469863,True,3.4771550298066427
ByteDance,60,3,36.537506103515625,35.399919515286676,True,3.113476286547895
ByteDance,60,5,54.878684997558594,53.36910547092029,True,2.7507574693261367
ByteDance,60,10,100.73162841796875,98.29207036000435,True,2.421839194182262
ByteDance,120,1,19.465604782104492,17.847298982350804,True,8.313668225923612
ByteDance,120,2,29.361560821533203,26.842127501527592,True,8.5807199941425
ByteDance,120,3,39.25751876831055,35.836956020704385,True,8.713140450351919
ByteDance,120,5,59.049434661865234,53.82661305905795,True,8.844829138017543
ByteDance,120,10,108.52922058105469,98.80075565494188,True,8.963913012576308
