dataset,horizon_min,model,C_u_over_C_o,total_cost_dollars,cost_waste_dollars,cost_violation_dollars,cost_per_vcpu_month,violation_rate,waste_rate,mean_violation_pp,mean_waste_pp,savings_vs_naive_dollars,savings_vs_naive_pct,n_timesteps
Alibaba,10,naive,1,57.92487335205078,29.35382843017578,28.571043014526367,0.2996037006378174,0.14118709827273365,0.14587806947019444,0.4275967478752136,0.439312219619751,0.0,0.0,1670443
Alibaba,10,hetero_ensemble,1,65.17633378327518,32.444834830760264,32.73149895251492,0.3371102898377841,0.39401943077375284,0.6059805692262472,0.48986255371352005,0.4855723127152532,-7.251460431224402,-12.518733337839349,1670443
Alibaba,10,homo_ensemble,1,64.5807777787509,32.12460665906696,32.456171119683944,0.3340299070416696,0.37419953868524697,0.6258004613147531,0.48574197263366603,0.48077974913042454,-6.655904426700118,-11.49058088784664,1670443
Alibaba,10,xgboost,1,62.6992301940918,31.77096176147461,30.928268432617188,0.32429805397987366,0.3197433255729169,0.6802560757834898,0.4628750681877136,0.4754871428012848,-4.774356842041016,-8.242325782775879,1670443
Alibaba,10,lightgbm,1,57.92487999999997,29.353839999999987,28.57103999999999,0.2996037357754797,0.14118709827273365,0.14587806947019444,0.42759675128094765,0.43931220640273266,-6.647949192029046e-06,-1.1476847176902254e-05,1670443
Alibaba,10,extratrees,1,64.64787756205017,32.2499832077389,32.39789435431127,0.33437696595221356,0.37731428130142725,0.6226857186985728,0.4848697973278838,0.4826561458208824,-6.723004209999388,-11.606420214574998,1670443
Alibaba,10,bilstm,1,,,,,0.41848180392865847,0.5815104137046281,,,,,1670443
Alibaba,10,linear_reg,1,66.41801452636719,32.42499923706055,33.99301528930664,0.34353262186050415,0.47524758402411815,0.5247524159758818,0.5087427496910095,0.48527541756629944,-8.493141174316406,-14.662338256835938,1670443
Alibaba,10,naive,2,86.49591064453125,29.35382843017578,57.142086029052734,0.4473811388015747,0.14118709827273365,0.14587806947019444,0.4275967478752136,0.439312219619751,0.0,0.0,1670443
Alibaba,10,hetero_ensemble,2,97.9078327357901,32.444834830760264,65.46299790502984,0.5064067884011765,0.39401943077375284,0.6059805692262472,0.48986255371352005,0.4855723127152532,-11.411922091258845,-13.19359725358342,1670443
Alibaba,10,homo_ensemble,2,97.03694889843484,32.12460665906696,64.91234223936789,0.5019023327838644,0.37419953868524697,0.6258004613147531,0.48574197263366603,0.48077974913042454,-10.541038253903594,-12.186747529861467,1670443
Alibaba,10,xgboost,2,93.62750244140625,31.77096176147461,61.856536865234375,0.4842677116394043,0.3197433255729169,0.6802560757834898,0.4628750681877136,0.4754871428012848,-7.131591796875,-8.245004653930664,1670443
Alibaba,10,lightgbm,2,86.49591999999997,29.353839999999987,57.14207999999998,0.44738117301817526,0.14118709827273365,0.14587806947019444,0.42759675128094765,0.43931220640273266,-9.355468719718374e-06,-1.0816082113021697e-05,1670443
Alibaba,10,extratrees,2,97.04577191636145,32.2499832077389,64.79578870862254,0.5019479679087301,0.37731428130142725,0.6226857186985728,0.4848697973278838,0.4826561458208824,-10.549861271830196,-12.196948032822656,1670443
Alibaba,10,bilstm,2,,,,,0.41848180392865847,0.5815104137046281,,,,,1670443
Alibaba,10,linear_reg,2,100.41102600097656,32.42499923706055,67.98603057861328,0.519353985786438,0.47524758402411815,0.5247524159758818,0.5087427496910095,0.48527541756629944,-13.915115356445312,-16.08759880065918,1670443
