,naive,ets,arima,linear_reg,xgboost,lightgbm,extratrees,bilstm,homo_ensemble,hetero_ensemble
naive,0.0,-8.140742093571301,-4.206161304837679,-157.5005429183832,-49.63754090880781,154.0178315550018,49.43276307091658,74.25119489220434,73.04801839614593,83.60309538237682
ets,8.140742093571301,0.0,8.679354546698105,-141.61886766038577,-41.04929883078558,144.35999650992048,49.87539427050291,72.83664383009823,72.54581188190497,82.59628838710313
arima,4.206161304837679,-8.679354546698105,0.0,-144.77929139817886,-43.45772462275144,144.25899717137543,49.01741837828784,71.99520245287981,71.76806790519929,81.86297712120941
linear_reg,157.5005429183832,141.61886766038577,144.77929139817886,0.0,125.58237721896407,350.44170962975574,175.07746013546566,229.07096234924532,217.908063037165,241.52381849906118
xgboost,49.63754090880781,41.04929883078558,43.45772462275144,-125.58237721896407,0.0,199.54554173293283,86.92380323649215,123.48247129038829,118.12608278886457,133.7185160894813
lightgbm,-154.0178315550018,-144.35999650992048,-144.25899717137543,-350.44170962975574,-199.54554173293283,0.0,-65.16062665474439,-64.1270208364795,-41.508672094356776,-30.451371315940566
extratrees,-49.43276307091658,-49.87539427050291,-49.01741837828784,-175.07746013546566,-86.92380323649215,65.16062665474439,0.0,11.220757119911767,60.50703094374681,76.87384111337533
bilstm,-74.25119489220434,-72.83664383009823,-71.99520245287981,-229.07096234924532,-123.48247129038829,64.1270208364795,-11.220757119911767,0.0,20.028881285799287,36.22443931088702
homo_ensemble,-73.04801839614593,-72.54581188190497,-71.76806790519929,-217.908063037165,-118.12608278886457,41.508672094356776,-60.50703094374681,-20.028881285799287,0.0,67.10989639671925
hetero_ensemble,-83.60309538237682,-82.59628838710313,-81.86297712120941,-241.52381849906118,-133.7185160894813,30.451371315940566,-76.87384111337533,-36.22443931088702,-67.10989639671925,0.0
