Horizon,Strategy,variant,safety_margin,violation_rate,waste_rate,viol_severity
10min,Reactive,lag=1,1.0,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.067,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.133,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.2,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.267,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.333,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.4,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.467,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.533,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=1,1.6,0.020121009815959,0.46715525211484055,0.01770134208705103
10min,Reactive,lag=2,1.0,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.067,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.133,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.2,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.267,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.333,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.4,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.467,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.533,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=2,1.6,0.02422710622272056,0.4688395408253569,0.020806326318282945
10min,Reactive,lag=3,1.0,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.067,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.133,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.2,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.267,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.333,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.4,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.467,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.533,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=3,1.6,0.027650748933067456,0.4702924445479121,0.023484752599872736
10min,Reactive,lag=4,1.0,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.067,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.133,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.2,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.267,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.333,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.4,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.467,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.533,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,Reactive,lag=4,1.6,0.030594279481550704,0.4715721148034941,0.02584388455125198
10min,ML-Proactive,ML,1.0,0.015289357374061851,0.47165159564225945,0.013878460884630212
10min,ML-Proactive,ML,1.067,0.014700292078209193,0.4948419121739453,0.013527959953367178
10min,ML-Proactive,ML,1.133,0.014079498671909187,0.5149851302175047,0.013242717105049257
10min,ML-Proactive,ML,1.2,0.013592202786925384,0.532361757223652,0.012997621911852818
10min,ML-Proactive,ML,1.267,0.013038457463080152,0.5479040597934791,0.012765473829418622
10min,ML-Proactive,ML,1.333,0.012567324955116697,0.561677311385456,0.012565083906567145
10min,ML-Proactive,ML,1.4,0.012308710922791139,0.5738361206472192,0.012398193907078064
10min,ML-Proactive,ML,1.467,0.012148873083367706,0.5849068160904662,0.012247995810477521
10min,ML-Proactive,ML,1.533,0.011991429818317656,0.59507615827816,0.01211411223461326
10min,ML-Proactive,ML,1.6,0.011851945861067992,0.6041819163294354,0.011995556180010126
30min,Reactive,lag=1,1.0,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=1,1.067,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=1,1.133,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=1,1.2,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=1,1.267,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=1,1.333,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=1,1.4,0.020164057866714644,0.4670396063583551,0.01774992749428467
