Horizon,Config,R2,MAE,Delta_R2_pp,Delta_MAE
10min,Full ensemble,0.92109,0.9564,0.0,0.0
10min,Without XGBoost,0.921162,0.965,0.0072,0.0086
10min,Without LightGBM,0.92109,0.9564,0.0,0.0
10min,Without ExtraTrees,0.920098,0.9182,-0.0992,-0.0381
10min,XGBoost alone,0.920098,0.9182,-0.0992,-0.0381
10min,LightGBM alone,0.918777,0.8669,-0.2313,-0.0895
10min,ExtraTrees alone,0.921162,0.965,0.0072,0.0086
30min,Full ensemble,0.840099,1.7465,0.0,0.0
30min,Without XGBoost,0.840111,1.7469,0.0012,0.0004
30min,Without LightGBM,0.840162,1.7543,0.0063,0.0078
30min,Without ExtraTrees,0.839372,1.738,-0.0727,-0.0085
30min,Without BiLSTM,0.83978,1.7337,-0.0319,-0.0128
30min,XGBoost alone,0.837299,1.7633,-0.28,0.0168
30min,LightGBM alone,0.837382,1.7111,-0.2717,-0.0354
30min,ExtraTrees alone,0.840173,1.7527,0.0074,0.0062
30min,BiLSTM alone,0.839749,1.7651,-0.035,0.0186
60min,Full ensemble,0.800681,2.1288,0.0,0.0
60min,Without XGBoost,0.800681,2.1288,-0.0,0.0
60min,Without LightGBM,0.800708,2.1321,0.0027,0.0032
60min,Without ExtraTrees,0.799078,2.1277,-0.1603,-0.0011
60min,Without BiLSTM,0.800388,2.1243,-0.0293,-0.0045
60min,XGBoost alone,0.791556,2.2342,-0.9125,0.1054
60min,LightGBM alone,0.797416,2.1179,-0.3265,-0.011
60min,ExtraTrees alone,0.800795,2.1346,0.0113,0.0058
60min,BiLSTM alone,0.799072,2.1509,-0.1609,0.0221
120min,Full ensemble,0.763571,2.4578,0.0,0.0
120min,Without XGBoost,0.763571,2.4578,0.0,0.0
120min,Without LightGBM,0.763593,2.4582,0.0022,0.0003
120min,Without ExtraTrees,0.759983,2.4672,-0.3588,0.0094
120min,Without BiLSTM,0.762374,2.46,-0.1197,0.0021
120min,XGBoost alone,0.727239,2.8094,-3.6332,0.3516
120min,LightGBM alone,0.75459,2.4802,-0.8982,0.0224
120min,ExtraTrees alone,0.762917,2.4667,-0.0654,0.0088
120min,BiLSTM alone,0.759987,2.4909,-0.3584,0.033
