Horizon,Method,N_models,R2,MAE,Weights
10min,NNLS,4,0.921182,0.9706,XGB=0.007 LGB=0.000 ET=0.339 BiLSTM=0.654
10min,Simple Average,4,0.920632,0.9276,XGB=0.250 LGB=0.250 ET=0.250 BiLSTM=0.250
10min,Ridge,4,0.921224,0.9759,XGB=0.007 LGB=0.000 ET=0.339 BiLSTM=0.654
10min,Bates-Granger,4,0.920641,0.9281,XGB=0.249 LGB=0.246 ET=0.252 BiLSTM=0.253
10min,Best Individual (LGB),1,0.918777,0.8669,XGB=0.000 LGB=1.000 ET=0.000 BiLSTM=0.000
30min,NNLS,4,0.840099,1.7465,XGB=0.011 LGB=0.125 ET=0.442 BiLSTM=0.423
30min,Simple Average,4,0.839457,1.7366,XGB=0.250 LGB=0.250 ET=0.250 BiLSTM=0.250
30min,Ridge,4,0.840167,1.7533,XGB=0.011 LGB=0.125 ET=0.442 BiLSTM=0.423
30min,Bates-Granger,4,0.839468,1.7367,XGB=0.248 LGB=0.248 ET=0.252 BiLSTM=0.252
30min,Best Individual (LGB),1,0.837382,1.7111,XGB=0.000 LGB=1.000 ET=0.000 BiLSTM=0.000
60min,NNLS,4,0.800681,2.1288,XGB=0.000 LGB=0.075 ET=0.570 BiLSTM=0.355
60min,Simple Average,4,0.799192,2.1331,XGB=0.250 LGB=0.250 ET=0.250 BiLSTM=0.250
60min,Ridge,4,0.800729,2.1301,XGB=-0.008 LGB=0.075 ET=0.575 BiLSTM=0.358
60min,Bates-Granger,4,0.799238,2.1326,XGB=0.243 LGB=0.250 ET=0.254 BiLSTM=0.253
60min,Best Individual (LGB),1,0.797416,2.1179,XGB=0.000 LGB=1.000 ET=0.000 BiLSTM=0.000
120min,NNLS,4,0.763571,2.4578,XGB=0.000 LGB=0.009 ET=0.570 BiLSTM=0.420
120min,Simple Average,4,0.758394,2.4914,XGB=0.250 LGB=0.250 ET=0.250 BiLSTM=0.250
120min,Ridge,4,0.763687,2.4578,XGB=-0.015 LGB=0.011 ET=0.579 BiLSTM=0.425
120min,Bates-Granger,4,0.758845,2.4867,XGB=0.230 LGB=0.252 ET=0.260 BiLSTM=0.258
120min,Best Individual (LGB),1,0.75459,2.4802,XGB=0.000 LGB=1.000 ET=0.000 BiLSTM=0.000
