,10min,30min,60min,120min
cpu_lag_3,0.13098437,0.0,0.0,0.0
mem_lag_3,0.0014290721,0.0,0.0,0.0
cpu_lag_4,0.016204253,0.0,0.0,0.0
mem_lag_4,0.0015621894,0.0,0.0,0.0
cpu_lag_5,0.0074470933,0.0,0.0,0.0
mem_lag_5,0.0011375137,0.0,0.0,0.0
cpu_lag_6,0.006618986,0.0,0.0,0.0
mem_lag_6,0.0012516894,0.0,0.0,0.0
cpu_lag_8,0.012921576,0.019346897,0.0,0.0
mem_lag_8,0.0012368085,0.0019173978,0.0,0.0
cpu_lag_14,0.008491056,0.0,0.0332902,0.0
mem_lag_14,0.0012936149,0.0,0.004278807,0.0
cpu_lag_26,0.0057959612,0.0,0.0,0.04287135
mem_lag_26,0.0016050609,0.0,0.0,0.006856431
cpu_lag_50,0.0046128435,0.0,0.0,0.0
mem_lag_50,0.002718562,0.0,0.0,0.0
disk_lag_3,0.0015238096,0.0,0.0,0.0
disk_lag_8,0.0018462933,0.0,0.0,0.0
disk_lag_14,0.0017875724,0.0,0.0,0.0
cpu_trend_short,0.008238476,0.0020235507,0.0013011274,0.0009909637
cpu_trend_medium,0.020783627,0.0045680604,0.0020753017,0.0015220166
cpu_trend_long,0.032866612,0.03512392,0.020196157,0.04427559
mem_trend_short,0.00046486626,0.00046016963,0.00063258305,0.00053583673
mem_trend_medium,0.0007671597,0.000702906,0.0010047136,0.0011190167
mem_trend_long,0.0010559777,0.0019117276,0.0036576441,0.005212331
cpu_accel,0.0014478021,0.0011834183,0.001385355,0.0011399399
mem_accel,0.0006334146,0.0005247446,0.0008578152,0.00064129726
cpu_jerk,0.0019224746,0.0011442996,0.0013162734,0.0012263895
mem_jerk,0.0006907262,0.0005823206,0.00091230345,0.0010422206
cpu_same_time_1d,0.00724114,0.014529065,0.012957227,0.031212868
mem_same_time_1d,0.0014998338,0.0029555352,0.00607576,0.010164348
cpu_diff_1d,0.022206562,0.0071230377,0.0021083434,0.0025446797
mem_diff_1d,0.001132288,0.0014317678,0.0023145576,0.0030538463
cluster_id,0.02992497,0.066669255,0.13657337,0.20923345
cpu_roll_mean_6,0.0054222504,0.021527933,0.02460124,0.04083153
cpu_roll_std_6,0.0042298976,0.0035730246,0.004200499,0.0054628993
cpu_roll_min_6,0.0073384168,0.017655944,0.027398923,0.053696312
cpu_roll_max_6,0.0064367848,0.022561498,0.024772182,0.028701521
mem_roll_mean_6,0.0014340399,0.0023151299,0.003694445,0.0066693122
mem_roll_std_6,0.0011847198,0.002016489,0.004019974,0.004729616
mem_roll_min_6,0.001389866,0.0022718848,0.0037141147,0.0053833025
mem_roll_max_6,0.0013943533,0.002537689,0.0044708187,0.0070040217
cpu_roll_mean_12,0.0066547813,0.01008568,0.03271441,0.037023004
cpu_roll_std_12,0.003345189,0.0073312763,0.01174774,0.018287852
cpu_roll_min_12,0.013872441,0.011785413,0.02901426,0.05410127
cpu_roll_max_12,0.005188626,0.01181407,0.01850444,0.030493794
mem_roll_mean_12,0.0014668471,0.0023288087,0.0040617203,0.008115274
mem_roll_std_12,0.00081763754,0.0018202744,0.003055229,0.0039613526
mem_roll_min_12,0.0012543882,0.0026489603,0.0041318745,0.0067987074
mem_roll_max_12,0.001365374,0.0024304613,0.0051477905,0.007927737
cpu_roll_mean_24,0.007884506,0.011787033,0.022219218,0.026623972
cpu_roll_std_24,0.0072132214,0.008246036,0.02966892,0.01829004
cpu_roll_min_24,0.013773648,0.010349509,0.023224307,0.053074382
cpu_roll_max_24,0.008889882,0.0066774194,0.014377193,0.019007448
mem_roll_mean_24,0.0011035884,0.0023213173,0.0045853066,0.010594678
mem_roll_std_24,0.0008812406,0.0023179136,0.00435935,0.0059789415
mem_roll_min_24,0.001278422,0.0024839651,0.004281707,0.008509793
mem_roll_max_24,0.0013223614,0.0027970376,0.0057163592,0.013511551
cpu_roll_mean_48,0.009637524,0.013712034,0.019897208,0.035722524
cpu_roll_std_48,0.007757265,0.006496705,0.013122771,0.014747741
cpu_roll_min_48,0.00922742,0.013263986,0.031738624,0.08149636
