Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.0064106847685238,0.7935613536221249,0.0,0.0
Without lag_immediate,lag_immediate,76,0.005120289397818167,0.793860194214563,0.0012903953707056326,0.000298840592438121
Without lag_extended,lag_extended,75,0.004897145694148675,0.7936373692321503,0.0015135390743751254,7.601561002545942e-05
Without rolling_mean,rolling_mean,77,0.006937413220170607,0.7928308853303472,-0.0005267284516468074,-0.0007304682917776972
Without rolling_std,rolling_std,77,0.008992360194180482,0.7917419275752122,-0.002581675425656682,-0.0018194260469126533
Without rolling_range,rolling_range,69,0.009298075190019572,0.7919525865639202,-0.0028873904214957724,-0.0016087670582046742
Without trend,trend,77,0.00646173301754982,0.7935145723168676,-5.104824902602001e-05,-4.678130525725965e-05
Without acceleration,acceleration,81,0.00645705114547257,0.793667744904749,-4.636637694876988e-05,0.00010639128262412978
Without volatility,volatility,79,0.008298077311600816,0.7920334354394358,-0.0018873925430770155,-0.0015279181826890476
Without temporal,temporal,80,0.008636432739687727,0.7921550757722345,-0.002225747971163927,-0.001406277849890336
Without historical,historical,81,0.006156406187358909,0.7934582138931967,0.00025427858116489066,-0.00010313972892816992
Without cross_resource,cross_resource,79,0.011235962579112746,0.7908852482618205,-0.004825277810588946,-0.0026761053603043816
Without cluster,cluster,84,0.00845477729857902,0.7919208900453099,-0.0020440925300552193,-0.001640463576815021
