Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.04667349069755611,2.1144131776490425,0.0,0.0
Without lag_immediate,lag_immediate,76,0.04861814389259633,2.1109151947899054,-0.0019446531950402246,-0.00349798285913705
Without lag_extended,lag_extended,75,0.04790607524628199,2.1107134868039976,-0.001232584548725879,-0.003699690845044845
Without rolling_mean,rolling_mean,77,0.04704543172528908,2.1131379571566073,-0.00037194102773296933,-0.001275220492435114
Without rolling_std,rolling_std,77,0.045853025063441244,2.1157949973652372,0.0008204656341148642,0.0013818197161947765
Without rolling_range,rolling_range,69,0.04759263923032986,2.112775176423877,-0.0009191485327737503,-0.001638001225165553
Without trend,trend,77,0.04730598688095533,2.114185566164879,-0.0006324961833992226,-0.00022761148416350352
Without acceleration,acceleration,81,0.04787034162585235,2.1121444289707654,-0.0011968509282962447,-0.0022687486782770883
Without volatility,volatility,79,0.04567414905280798,2.1151938555100975,0.0009993416447481307,0.000780677861055068
Without temporal,temporal,80,0.01033000496991121,2.196014591502511,0.0363434857276449,0.08160141385346842
Without historical,historical,81,0.04727635555756937,2.1125904508532605,-0.0006028648600132636,-0.0018227267957819926
Without cross_resource,cross_resource,79,0.045945734850334596,2.1152533333134182,0.0007277558472215118,0.0008401556643757857
Without cluster,cluster,84,0.04643171768464682,2.1131306570662773,0.00024177301290928543,-0.0012825205827651232
