Horizon,CV_bin,N,Win_pct,Skill_median,p_value,Cliffs_delta
10min,Low  CV (<0.3),7,85.7,0.0608,,0.429
10min,Med  CV (0.3-0.7),8,75.0,0.011,,0.0
10min,High CV (>0.7),141,5.0,-1.0058,0.0,-0.957
30min,Low  CV (<0.3),7,85.7,0.1306,,0.714
30min,Med  CV (0.3-0.7),8,87.5,0.2081,,0.5
30min,High CV (>0.7),141,30.5,-0.7668,0.0,-0.957
60min,Low  CV (<0.3),7,85.7,0.0702,,0.429
60min,Med  CV (0.3-0.7),8,87.5,0.2037,,0.5
60min,High CV (>0.7),141,43.3,-0.604,0.0,-0.801
120min,Low  CV (<0.3),7,85.7,0.1001,,0.429
120min,Med  CV (0.3-0.7),8,75.0,0.3642,,0.5
120min,High CV (>0.7),141,48.9,-0.4334,0.0,-0.887
