vm_id,horizon,naive_r2,naive_mae,ml_r2,ml_r2_raw,ml_mae,r2_delta,skill,ml_wins
1005,10min,0.596685,0.023472,0.823299,0.823299,0.017895,0.226615,0.237593,1
1005,30min,0.320612,0.034145,0.742486,0.742486,0.022312,0.421874,0.346547,1
1005,60min,0.33941,0.032898,0.676351,0.676351,0.026433,0.336942,0.196497,1
1005,120min,-0.063474,0.045969,0.6239,0.6239,0.028471,0.687374,0.38064,1
1007,10min,0.148866,0.005176,0.080154,0.080154,0.005928,-0.068712,-0.145119,0
1007,30min,-0.060158,0.006051,-0.249968,-0.249968,0.008048,-0.18981,-0.329935,0
1007,60min,-0.212406,0.006897,-0.617346,-0.617346,0.009749,-0.40494,-0.413576,0
1007,120min,-0.461308,0.008508,-1.433286,-1.433286,0.012449,-0.971978,-0.463161,0
183,10min,1.0,0.0,-10.0,-5.238500934102355e+33,0.050289,-11.0,-50288674.628035,0
183,30min,1.0,0.0,0.0,0.0,0.271474,-1.0,-271473941.692081,0
183,60min,1.0,0.0,0.0,0.0,0.339355,-1.0,-339354855.014997,0
183,120min,1.0,0.0,0.0,0.0,0.29908,-1.0,-299079516.05533,0
184,10min,1.0,0.0,-10.0,-5.240302733879121e+33,0.042304,-11.0,-42304408.466686,0
184,30min,1.0,0.0,-10.0,-2.319388186764057e+34,0.104149,-11.0,-104148828.401846,0
184,60min,1.0,0.0,-10.0,-9.372574992945723e+34,0.221391,-11.0,-221391131.695648,0
184,120min,1.0,0.0,-10.0,-5.498387608750702e+34,0.347456,-11.0,-347455818.167457,0
185,10min,1.0,0.0,0.0,0.0,0.061991,-1.0,-61991078.812978,0
185,30min,1.0,0.0,0.0,0.0,0.42084,-1.0,-420840192.229154,0
185,60min,1.0,0.0,0.0,0.0,0.5735,-1.0,-573500205.601619,0
185,120min,1.0,0.0,0.0,0.0,0.472284,-1.0,-472284148.05095,0
186,10min,1.0,0.0,-10.0,-8.179383983086994e+32,0.016656,-11.0,-16656202.045511,0
186,30min,1.0,0.0,-10.0,-8.701980238068639e+33,0.061186,-11.0,-61185649.47918,0
186,60min,1.0,0.0,0.0,0.0,0.138342,-1.0,-138341854.0985,0
186,120min,1.0,0.0,0.0,0.0,0.243362,-1.0,-243362447.43259,0
187,10min,1.0,0.0,0.0,0.0,0.176864,-1.0,-176863586.934417,0
187,30min,1.0,0.0,0.0,0.0,0.306534,-1.0,-306533689.434244,0
187,60min,1.0,0.0,0.0,0.0,0.349964,-1.0,-349964051.250239,0
187,120min,1.0,0.0,0.0,0.0,0.302583,-1.0,-302583270.324014,0
188,10min,1.0,0.0,0.0,0.0,0.048426,-1.0,-48425847.513419,0
188,30min,1.0,0.0,0.0,0.0,0.314293,-1.0,-314292874.970531,0
188,60min,1.0,0.0,0.0,0.0,0.244509,-1.0,-244508962.609657,0
188,120min,1.0,0.0,0.0,0.0,0.405848,-1.0,-405848146.385133,0
189,10min,1.0,0.0,0.0,0.0,0.087553,-1.0,-87552548.585351,0
189,30min,1.0,0.0,0.0,0.0,0.249637,-1.0,-249636691.435493,0
189,60min,1.0,0.0,0.0,0.0,0.20212,-1.0,-202120328.710879,0
189,120min,1.0,0.0,0.0,0.0,0.394704,-1.0,-394704113.478004,0
190,10min,1.0,0.0,0.0,0.0,0.053614,-1.0,-53613896.107341,0
190,30min,1.0,0.0,0.0,0.0,0.13199,-1.0,-131990238.877961,0
190,60min,1.0,0.0,0.0,0.0,0.205975,-1.0,-205975432.498964,0
190,120min,1.0,0.0,0.0,0.0,0.307173,-1.0,-307173312.686624,0
191,10min,1.0,0.0,0.0,0.0,0.105124,-1.0,-105123684.362516,0
191,30min,1.0,0.0,0.0,0.0,0.135089,-1.0,-135088981.520516,0
191,60min,1.0,0.0,0.0,0.0,0.383293,-1.0,-383293382.843704,0
191,120min,1.0,0.0,0.0,0.0,0.342166,-1.0,-342165506.526059,0
192,10min,1.0,0.0,0.0,0.0,0.031517,-1.0,-31517224.61791,0
192,30min,1.0,0.0,0.0,0.0,0.042944,-1.0,-42943914.767654,0
192,60min,1.0,0.0,0.0,0.0,0.111505,-1.0,-111504903.965119,0
192,120min,1.0,0.0,0.0,0.0,0.179326,-1.0,-179326450.846651,0
193,10min,1.0,0.0,-10.0,-6.406242780821847e+34,0.087568,-11.0,-87567704.769389,0
193,30min,1.0,0.0,-10.0,-1.1793107098405108e+36,0.403615,-11.0,-403614557.655572,0
193,60min,1.0,0.0,-10.0,-1.456516858083482e+36,0.440897,-11.0,-440896975.871626,0
193,120min,1.0,0.0,0.0,0.0,0.405733,-1.0,-405733039.455462,0
194,10min,1.0,0.0,0.0,0.0,0.037775,-1.0,-37774995.570776,0
194,30min,1.0,0.0,0.0,0.0,0.241831,-1.0,-241831381.586332,0
194,60min,1.0,0.0,0.0,0.0,0.331424,-1.0,-331423722.377189,0
194,120min,1.0,0.0,0.0,0.0,0.455459,-1.0,-455458998.139929,0
195,10min,1.0,0.0,0.0,0.0,0.097695,-1.0,-97694505.995615,0
195,30min,1.0,0.0,0.0,0.0,0.441876,-1.0,-441875782.309122,0
195,60min,1.0,0.0,0.0,0.0,0.509339,-1.0,-509338795.639148,0
195,120min,1.0,0.0,0.0,0.0,0.575031,-1.0,-575031389.44281,0
196,10min,1.0,0.0,0.0,0.0,0.056913,-1.0,-56913446.050799,0
196,30min,1.0,0.0,0.0,0.0,0.295698,-1.0,-295698145.25856,0
196,60min,1.0,0.0,0.0,0.0,0.278869,-1.0,-278868533.764447,0
196,120min,1.0,0.0,0.0,0.0,0.418073,-1.0,-418072550.973009,0
197,10min,1.0,0.0,0.0,0.0,0.090912,-1.0,-90911873.810787,0
197,30min,1.0,0.0,0.0,0.0,0.317432,-1.0,-317431773.343635,0
197,60min,1.0,0.0,0.0,0.0,0.309251,-1.0,-309250925.630452,0
197,120min,1.0,0.0,0.0,0.0,0.346361,-1.0,-346360551.522742,0
198,10min,1.0,0.0,0.0,0.0,0.033083,-1.0,-33082922.38407,0
198,30min,1.0,0.0,0.0,0.0,0.108496,-1.0,-108495994.160728,0
198,60min,1.0,0.0,0.0,0.0,0.124465,-1.0,-124464679.906356,0
198,120min,1.0,0.0,0.0,0.0,0.220922,-1.0,-220921924.151488,0
199,10min,1.0,0.0,0.0,0.0,0.017127,-1.0,-17126842.353611,0
199,30min,1.0,0.0,0.0,0.0,0.082398,-1.0,-82397648.872543,0
199,60min,1.0,0.0,0.0,0.0,0.157927,-1.0,-157926696.258949,0
199,120min,1.0,0.0,0.0,0.0,0.182598,-1.0,-182597963.160221,0
200,10min,1.0,0.0,0.0,0.0,0.036798,-1.0,-36797792.151771,0
200,30min,1.0,0.0,0.0,0.0,0.104814,-1.0,-104813680.01888,0
200,60min,1.0,0.0,0.0,0.0,0.318426,-1.0,-318426039.601629,0
200,120min,1.0,0.0,0.0,0.0,0.107092,-1.0,-107091708.804179,0
201,10min,1.0,0.0,0.0,0.0,0.03321,-1.0,-33210257.480659,0
201,30min,1.0,0.0,0.0,0.0,0.139328,-1.0,-139327697.419173,0
201,60min,1.0,0.0,0.0,0.0,0.180738,-1.0,-180738447.873227,0
201,120min,1.0,0.0,0.0,0.0,0.30048,-1.0,-300480457.946705,0
202,10min,1.0,0.0,0.0,0.0,0.138745,-1.0,-138744666.330999,0
202,30min,1.0,0.0,0.0,0.0,0.201969,-1.0,-201968591.940016,0
202,60min,1.0,0.0,0.0,0.0,0.343206,-1.0,-343205585.271529,0
202,120min,1.0,0.0,0.0,0.0,0.247237,-1.0,-247236987.804614,0
203,10min,1.0,0.0,0.0,0.0,0.043204,-1.0,-43203616.853765,0
203,30min,1.0,0.0,0.0,0.0,0.17138,-1.0,-171380318.738366,0
203,60min,1.0,0.0,0.0,0.0,0.251506,-1.0,-251505813.302656,0
203,120min,1.0,0.0,0.0,0.0,0.338225,-1.0,-338224584.895116,0
204,10min,1.0,0.0,0.0,0.0,0.207798,-1.0,-207797521.39759,0
204,30min,1.0,0.0,0.0,0.0,0.360074,-1.0,-360073540.946579,0
204,60min,1.0,0.0,0.0,0.0,0.380049,-1.0,-380049135.044277,0
204,120min,1.0,0.0,0.0,0.0,0.204847,-1.0,-204846748.047826,0
205,10min,1.0,0.0,0.0,0.0,0.023721,-1.0,-23720758.980457,0
205,30min,1.0,0.0,0.0,0.0,0.092128,-1.0,-92127523.957086,0
205,60min,1.0,0.0,0.0,0.0,0.235229,-1.0,-235228503.580384,0
205,120min,1.0,0.0,0.0,0.0,0.409002,-1.0,-409002493.089538,0
206,10min,1.0,0.0,0.0,0.0,0.032128,-1.0,-32128021.310681,0
206,30min,1.0,0.0,0.0,0.0,0.197995,-1.0,-197994522.808193,0
206,60min,1.0,0.0,0.0,0.0,0.321799,-1.0,-321799461.40863,0
206,120min,1.0,0.0,0.0,0.0,0.518335,-1.0,-518334619.096944,0
207,10min,1.0,0.0,0.0,0.0,0.080211,-1.0,-80210745.076292,0
207,30min,1.0,0.0,0.0,0.0,0.137701,-1.0,-137701038.321291,0
207,60min,1.0,0.0,0.0,0.0,0.213498,-1.0,-213498017.835031,0
207,120min,1.0,0.0,0.0,0.0,0.323556,-1.0,-323555854.710913,0
208,10min,1.0,0.0,0.0,0.0,0.09834,-1.0,-98339722.928076,0
208,30min,1.0,0.0,0.0,0.0,0.24013,-1.0,-240129628.215162,0
208,60min,1.0,0.0,0.0,0.0,0.408279,-1.0,-408279183.37277,0
208,120min,1.0,0.0,0.0,0.0,0.513538,-1.0,-513537600.63583,0
209,10min,0.342911,0.017285,-1.557368,-1.557368,0.122137,-1.900279,-6.066152,0
209,30min,-0.213929,0.028347,-2.487387,-2.487387,0.13408,-2.273458,-3.729995,0
209,60min,-0.331416,0.031134,-4.975897,-4.975897,0.156711,-4.644481,-4.033527,0
209,120min,-0.924762,0.041374,-10.0,-10.574311,0.252998,-9.075238,-5.114868,0
210,10min,1.0,0.0,0.0,0.0,0.025401,-1.0,-25401462.492964,0
210,30min,1.0,0.0,0.0,0.0,0.152564,-1.0,-152563996.388166,0
210,60min,1.0,0.0,-10.0,-1.4021974377137906e+35,0.238837,-11.0,-238836750.396217,0
210,120min,1.0,0.0,-10.0,-2.0997094499132044e+36,0.468675,-11.0,-468674947.837879,0
