vm_id,horizon,naive_r2,ml_r2,r2_delta,naive_mae,ml_mae,ml_wins
1005,10min,0.05586031576034911,0.7381355496264004,0.6822752338660513,0.04306402085747392,0.02141283221234339,1
1005,30min,-0.15473084200432186,0.6051606411966346,0.7598914832009565,0.049585603864734304,0.0278967707392423,1
1005,60min,-0.05910380030233342,0.4717728637897183,0.5308766640920517,0.045941995359628764,0.03448179957983765,1
1005,120min,-0.18175501525395243,0.3391581895499327,0.5209132048038851,0.04966627929498353,0.0398935053934222,1
1007,10min,-0.3089808438182977,0.14207183925097888,0.4510526830692766,0.007474942062572422,0.006339330368575405,1
1007,30min,-0.35011239857954424,-0.06979621960491289,0.28031617897463135,0.007840096618357486,0.008579791466828687,1
1007,60min,-0.46080720907739225,-0.30857494480939396,0.1522322642679983,0.00852774555297757,0.011254643436312078,1
1007,120min,-0.6453408260737539,-1.175133846043841,-0.5297930199700871,0.009865388340112337,0.015805099886745257,0
183,10min,1.0,-7.770876217949478e+29,-7.770876217949478e+29,0.0,0.0007646016937523015,0
183,30min,1.0,0.0,-1.0,0.0,0.0007203404296723045,0
183,60min,1.0,0.0,-1.0,0.0,0.001170122623920536,0
183,120min,1.0,0.0,-1.0,0.0,0.00033943956348950807,0
184,10min,1.0,-5.497709651106748e+29,-5.497709651106748e+29,0.0,0.0006431187330420236,0
184,30min,1.0,-5.526259841514126e+30,-5.526259841514126e+30,0.0,0.0020389938263566647,0
184,60min,1.0,-8.705472792205182e+30,-8.705472792205182e+30,0.0,0.0025591541213110945,0
184,120min,1.0,-3659.25,-3660.25,0.0,1.0495077029659683e-16,0
185,10min,1.0,0.0,-1.0,0.0,0.0014968776695415361,0
185,30min,1.0,0.0,-1.0,0.0,0.0022121706418483243,0
185,60min,1.0,0.0,-1.0,0.0,0.0027067641585416954,0
185,120min,1.0,0.0,-1.0,0.0,0.0027541843218227874,0
186,10min,1.0,-2.0693000137752048e+30,-2.0693000137752048e+30,0.0,0.001247705215531101,0
