Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,81,0.005425722957136947,4.278786204433889,0.0,0.0
Without lag_immediate,lag_immediate,73,-0.0035317504346206174,4.296660213329749,0.008957473391757564,0.017874008895859994
Without lag_extended,lag_extended,73,0.008711706052939694,4.250193622856682,-0.003285983095802747,-0.028592581577206566
Without rolling_mean,rolling_mean,73,0.005638691513092264,4.248225748896029,-0.00021296855595531738,-0.030560455537859355
Without rolling_std,rolling_std,73,0.0054852800857400075,4.250701088774947,-5.9557128603060505e-05,-0.028085115658941895
Without rolling_range,rolling_range,65,0.00671227896230342,4.24751125629558,-0.0012865560051664726,-0.031274948138309
Without trend,trend,73,0.005680412127286649,4.246193481638995,-0.00025468917014970227,-0.03259272279489345
Without acceleration,acceleration,77,0.004536840677685228,4.2752291921223655,0.0008888822794517193,-0.0035570123115231667
Without volatility,volatility,75,0.009023700136542079,4.265221441490898,-0.003597977179405132,-0.01356476294299025
Without temporal,temporal,76,0.004408500147989325,4.250496793286553,0.001017222809147622,-0.02828941114733574
Without historical,historical,77,0.00760992861287868,4.2617444016788815,-0.0021842056557417333,-0.017041802755007218
Without cross_resource,cross_resource,75,0.004857503636508276,4.29694845866235,0.0005682193206286712,0.018162254228461627
