Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,81,0.006752348435553168,12.301053221347074,0.0,0.0
Without lag_immediate,lag_immediate,73,0.004925692544335947,12.306454565455129,0.0018266558912172215,0.0054013441080549285
Without lag_extended,lag_extended,73,0.014199668883328243,12.26445288822855,-0.007447320447775074,-0.036600333118522954
Without rolling_mean,rolling_mean,73,0.005537548315867835,12.314249208090637,0.001214800119685333,0.013195986743562926
Without rolling_std,rolling_std,73,0.00845423569754511,12.288972580666579,-0.0017018872619919412,-0.012080640680494525
Without rolling_range,rolling_range,65,0.008888096930522171,12.287714010066143,-0.002135748494969003,-0.01333921128093074
Without trend,trend,73,0.006809709008333997,12.301407014540015,-5.736057278082907e-05,0.0003537931929411542
Without acceleration,acceleration,77,0.009545114633505491,12.296264054480455,-0.0027927661979523233,-0.004789166866618899
Without volatility,volatility,75,0.00969080252510579,12.280712636845056,-0.0029384540895526223,-0.020340584502017478
Without temporal,temporal,76,0.010981162655139265,12.2733666359375,-0.004228814219586097,-0.02768658540957425
Without historical,historical,77,0.00858790918661434,12.291969665940698,-0.0018355607510611716,-0.00908355540637551
Without cross_resource,cross_resource,75,0.00589007706141198,12.300006090594797,0.000862271374141188,-0.0010471307522763595
