container_id,start_idx,end_idx,n_points
c_10032,0,321,321
c_10036,321,641,320
c_1005,641,962,321
c_10065,962,1283,321
c_10076,1283,1599,316
c_10082,1599,1920,321
c_10104,1920,2235,315
c_10105,2235,2554,319
c_10109,2554,2874,320
c_10137,2874,3195,321
c_1017,3195,3508,313
c_10175,3508,3825,317
c_10188,3825,4145,320
c_10203,4145,4460,315
c_10214,4460,4747,287
c_10215,4747,5069,322
c_1024,5069,5375,306
c_10241,5375,5695,320
c_10249,5695,6010,315
c_10256,6010,6328,318
c_10260,6328,6649,321
c_10261,6649,6969,320
c_10264,6969,7286,317
c_10267,7286,7606,320
c_10318,7606,7927,321
c_10326,7927,8246,319
c_10335,8246,8567,321
c_10351,8567,8887,320
c_10355,8887,9202,315
c_10412,9202,9524,322
c_10415,9524,9845,321
c_10417,9845,10166,321
c_10429,10166,10486,320
c_10435,10486,10802,316
c_10439,10802,11121,319
c_10441,11121,11438,317
c_10452,11438,11758,320
c_10457,11758,12072,314
c_10459,12072,12394,322
c_10467,12394,12715,321
c_10483,12715,13035,320
c_10518,13035,13355,320
c_10527,13355,13676,321
c_10587,13676,13994,318
c_10588,13994,14313,319
c_1060,14313,14634,321
c_10603,14634,14950,316
c_10605,14950,15270,320
c_10619,15270,15586,316
c_10620,15586,15907,321
c_10632,15907,16220,313
c_10654,16220,16539,319
c_10663,16539,16858,319
c_10672,16858,17170,312
c_10677,17170,17490,320
c_10684,17490,17811,321
c_10704,17811,18132,321
c_10728,18132,18444,312
c_10749,18444,18764,320
c_10775,18764,19078,314
c_10810,19078,19399,321
c_10813,19399,19716,317
c_10816,19716,20036,320
c_10821,20036,20352,316
c_10822,20352,20673,321
c_10824,20673,20995,322
c_10838,20995,21301,306
c_10844,21301,21612,311
c_10854,21612,21932,320
c_10870,21932,22252,320
c_10875,22252,22574,322
c_10903,22574,22892,318
c_1091,22892,23209,317
c_10910,23209,23530,321
c_10929,23530,23851,321
c_10950,23851,24171,320
c_10965,24171,24490,319
c_10968,24490,24810,320
c_10987,24810,25126,316
c_10995,25126,25446,320
c_10999,25446,25764,318
c_11007,25764,26085,321
c_11015,26085,26403,318
c_11019,26403,26725,322
c_11059,26725,27047,322
c_1108,27047,27365,318
c_11113,27365,27686,321
c_11124,27686,28008,322
c_11125,28008,28325,317
c_11133,28325,28645,320
c_11138,28645,28958,313
c_1114,28958,29275,317
c_11178,29275,29593,318
c_11179,29593,29906,313
c_11203,29906,30226,320
c_11210,30226,30546,320
c_11227,30546,30865,319
c_11240,30865,31183,318
c_11243,31183,31503,320
c_11245,31503,31820,317
c_11250,31820,32141,321
c_11264,32141,32458,317
c_11271,32458,32778,320
c_11277,32778,33099,321
c_11286,33099,33420,321
c_11337,33420,33739,319
c_11349,33739,34040,301
c_11359,34040,34358,318
c_1137,34358,34679,321
c_11380,34679,35000,321
c_11418,35000,35319,319
c_11430,35319,35640,321
c_11433,35640,35953,313
c_1144,35953,36274,321
c_11450,36274,36594,320
c_11455,36594,36915,321
c_11459,36915,37235,320
c_11473,37235,37554,319
c_11502,37554,37876,322
c_11505,37876,38194,318
c_11517,38194,38514,320
c_11523,38514,38826,312
c_11532,38826,39145,319
c_11533,39145,39465,320
c_11539,39465,39783,318
c_11540,39783,40104,321
c_11550,40104,40417,313
c_11555,40417,40737,320
c_11564,40737,41056,319
c_11567,41056,41377,321
c_11585,41377,41696,319
c_11589,41696,42017,321
c_11591,42017,42338,321
c_11601,42338,42658,320
c_11624,42658,42976,318
c_1163,42976,43289,313
c_11634,43289,43608,319
c_11642,43608,43919,311
c_11655,43919,44238,319
c_1166,44238,44559,321
c_11680,44559,44877,318
c_11687,44877,45192,315
c_11730,45192,45512,320
c_11732,45512,45833,321
c_11737,45833,46148,315
c_11739,46148,46463,315
c_11751,46463,46780,317
c_11759,46780,47099,319
c_1177,47099,47418,319
c_11781,47418,47739,321
c_11787,47739,48054,315
c_11802,48054,48372,318
c_11809,48372,48693,321
c_11812,48693,49014,321
c_11820,49014,49332,318
c_11821,49332,49653,321
c_11843,49653,49974,321
c_11857,49974,50291,317
c_11864,50291,50606,315
c_11889,50606,50926,320
c_11917,50926,51245,319
c_1194,51245,51565,320
c_1195,51565,51879,314
c_11985,51879,52188,309
c_11999,52188,52509,321
c_12,52509,52830,321
c_12008,52830,53151,321
c_1203,53151,53471,320
c_12035,53471,53792,321
c_12074,53792,54108,316
c_12078,54108,54429,321
c_12084,54429,54749,320
c_12111,54749,55056,307
c_1214,55056,55376,320
c_12141,55376,55694,318
