Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.4633191720385126,3.161645631429193,0.0,0.0
Without lag_immediate,lag_immediate,76,0.4592143409404531,3.2613626401976195,0.00410483109805948,0.09971700876842648
Without lag_extended,lag_extended,75,0.45770080972615435,3.1814364352948883,0.005618362312358238,0.019790803865695317
Without rolling_mean,rolling_mean,77,0.45567171912733606,3.1720818171320597,0.007647452911176522,0.010436185702866752
Without rolling_std,rolling_std,77,0.45201210975042416,3.3018044601524665,0.01130706228808842,0.14015882872327357
Without rolling_range,rolling_range,69,0.4616780323291796,3.1689273065624324,0.001641139709332995,0.007281675133239407
Without trend,trend,77,0.46748839458579095,3.161777626720461,-0.004169222547278362,0.0001319952912681721
Without acceleration,acceleration,81,0.46088781131794143,3.1599779963736094,0.002431360720571152,-0.0016676350555835384
Without volatility,volatility,79,0.4400231832010578,3.275135813450505,0.023295988837454762,0.11349018202131189
Without temporal,temporal,80,0.433571595719625,3.2361576690835254,0.02974757631888758,0.07451203765433245
Without historical,historical,81,0.46683455646194505,3.1491865918054476,-0.003515384423432466,-0.012459039623745394
Without cross_resource,cross_resource,79,0.45355186547208337,3.234551845250357,0.009767306566429212,0.07290621382116402
Without cluster,cluster,84,0.4633191720385126,3.161645631429193,0.0,0.0
