dataset,horizon,cadence_min,k_origins,n_points,naive_full,naive_sub,project_baseline,project_baseline_label,chronos2_r2,chronos2_mae,p10_p90_coverage,delta_vs_baseline_pp,delta_vs_naive_sub_pp
alibaba,10min,5,20,98389,0.91878,0.9200814793103274,0.92129,NNLS Ensemble,0.9190493541745629,1.0392732831786573,0.8002927156491071,-0.22406458254371486,-0.10321251357644501
alibaba,30min,5,20,98385,0.83611,0.8323831142367966,0.84041,NNLS Ensemble,0.8572170662968959,1.7296730348078888,0.7601971845301622,1.6807066296895878,2.4833952060099307
alibaba,60min,5,20,98373,0.7878,0.7878909671095097,0.8011,NNLS Ensemble,0.8240939362674212,2.07843736533207,0.7644983887855408,2.299393626742119,3.6202969157911546
alibaba,120min,5,20,98315,0.7178,0.7085413572658108,0.7642,NNLS Ensemble,0.7611769342450518,2.5832411669172677,0.7754869551950364,-0.3023065754948151,5.263557697924104
bitbrains,10min,5,50,7100,0.8113,0.8114589303885196,0.6344,ML (per-VM median),0.8210231460299855,5.444385482173571,0.8209859154929577,18.662314602998553,0.9564215641465923
bitbrains,30min,5,50,7100,0.562,0.47694232475398746,0.3611,ML (per-VM median),0.49455658008488235,11.212942916881032,0.7925352112676056,13.345658008488236,1.761425533089489
bitbrains,60min,5,50,7100,0.3014,0.19572662158844412,0.1199,ML (per-VM median),0.2179045745667174,16.73389517874365,0.7663380281690141,9.80045745667174,2.2177952978273296
bitbrains,120min,5,50,7100,0.0306,0.09141406463637225,0.009,ML (per-VM median),0.14738551937511457,17.968834408181653,0.7588732394366198,13.838551937511456,5.597145473874232
bytedance,10min,10,50,4650,0.7852,0.7819889856132837,0.8549,NNLS Ensemble,0.9546026506070742,1.3948317080383659,0.766236559139785,9.970265060707417,17.26136649937905
bytedance,30min,10,50,4650,0.7462,0.7450118538312815,0.8014,NNLS Ensemble,0.942300342408981,1.680684966071639,0.7810752688172043,14.090034240898097,19.728848857769943
bytedance,60min,10,50,4650,0.7019,0.6949260838296464,0.7629,NNLS Ensemble,0.926532473176692,1.889032358366956,0.7645161290322581,16.363247317669195,23.160638934704558
bytedance,120min,10,50,4650,0.6471,0.6532478426518356,0.7601,NNLS Ensemble,0.9102825327555543,2.2249124638431814,0.7578494623655914,15.018253275555427,25.703469010371872
