dataset,horizon,n_points,naive_r2,nnls_ensemble_r2,chronos2_r2,timesfm_r2,granite_ttm_r2,delta_nnls_naive_pp,delta_chronos2_naive_pp,delta_timesfm_naive_pp,delta_ttm_naive_pp
alibaba,10min,98389,0.9201,0.9224,0.919,0.8989,0.866,0.23,-0.1,-2.12,-5.41
alibaba,30min,98385,0.8324,0.8375,0.8572,0.8535,0.8089,0.51,2.48,2.11,-2.34
alibaba,60min,98373,0.7879,0.8029,0.8241,0.8309,0.765,1.5,3.62,4.3,-2.29
alibaba,120min,98315,0.7085,0.7584,0.7612,0.7726,0.681,4.99,5.26,6.41,-2.75
bitbrains,10min,7100,0.8115,,0.821,0.7264,0.7088,,0.96,-8.51,-10.27
bitbrains,30min,7100,0.4769,,0.4946,0.5291,0.4833,,1.76,5.21,0.64
bitbrains,60min,7100,0.1957,,0.2179,0.2873,0.3396,,2.22,9.16,14.39
bitbrains,120min,7100,0.0914,,0.1474,0.2366,0.2759,,5.6,14.51,18.45
bytedance,10min,4650,0.7829,0.8548,0.9546,0.8408,0.7989,7.19,17.17,5.79,1.6
bytedance,30min,4650,0.7529,0.8055,0.9423,0.8731,0.7661,5.26,18.94,12.02,1.32
bytedance,60min,4650,0.6721,0.7406,0.9265,0.888,0.7131,6.85,25.45,21.59,4.1
bytedance,120min,4650,0.6523,0.7668,0.9103,0.8834,0.6961,11.45,25.8,23.11,4.39
