dataset,horizon,n_points,naive_sub_r2,ensemble_sub_r2,chronos2_r2,delta_ens_c2_pp,delta_naive_c2_pp,full_test_ens_r2_ref,delta_vs_full_test_pp,c2_n_points_json,ensemble_source,naive_source,diag_passed,note
alibaba,10min,98389,0.920081,0.922363,0.919049,-0.3314,-0.1032,0.9213,0.1063,98389,hetero_ensemble,recomputed from y_naive.npy on same positions,True,
alibaba,30min,98385,0.832383,0.837487,0.857217,1.973,2.4834,0.8404,-0.2913,98385,hetero_ensemble,recomputed from y_naive.npy on same positions,True,
alibaba,60min,98373,0.787891,0.802915,0.824094,2.1179,3.6203,0.8011,0.1815,98373,hetero_ensemble,recomputed from y_naive.npy on same positions,True,
alibaba,120min,98315,0.708541,0.758416,0.761177,0.2761,5.2636,0.7642,-0.5784,98315,hetero_ensemble,recomputed from y_naive.npy on same positions,True,
bitbrains,10min,2840,0.8678987543486205,,0.8771999797520251,,0.9301225403404612,,,2840,,,,"ensemble N/A: per-VM XGB on full 20% test split, not subsampleable"
bitbrains,30min,2840,0.6068060746817555,,0.6352632702895389,,2.845719560778337,,,2840,,,,"ensemble N/A: per-VM XGB on full 20% test split, not subsampleable"
bitbrains,60min,2840,0.1718116851683182,,0.2554835457691959,,8.367186060087771,,,2840,,,,"ensemble N/A: per-VM XGB on full 20% test split, not subsampleable"
bitbrains,120min,2840,-0.0920847110492457,,0.0439590815772464,,13.604379262649225,,,2840,,,,"ensemble N/A: per-VM XGB on full 20% test split, not subsampleable"
bytedance,10min,4650,0.7828888393757805,0.8548204401374633,0.9546026506070742,9.978221046961089,17.171381123129372,0.8549,-0.0079559862536715,4650,,,,
bytedance,30min,4650,0.7528819392041521,0.8054966941625206,0.942300342408981,13.68036482464604,18.94184032048288,0.8014,0.4096694162520564,4650,,,,
bytedance,60min,4650,0.6720621715968177,0.7406073067580017,0.926532473176692,18.59251664186903,25.447030157987427,0.7629,-2.229269324199834,4650,,,,
bytedance,120min,4650,0.6522737579989881,0.7668056914569368,0.9102825327555544,14.347684129861747,25.800877475656613,0.7601,0.670569145693678,4650,,,,
