Horizon,Strategy,variant,target_util,safety_margin,violation_rate,waste_rate,viol_severity
10min,Reactive,lag=1_tu=0.5,0.5,1.0,0.02011143151846546,0.4675759138030014,0.017690339945842758
10min,Reactive,lag=1_tu=0.5,0.5,1.067,0.019366120244749447,0.4940451254566334,0.01683983669222802
10min,Reactive,lag=1_tu=0.5,0.5,1.133,0.01793835527461877,0.515318167121627,0.01626017770635256
10min,Reactive,lag=1_tu=0.5,0.5,1.2,0.017466624123061967,0.5312924214957999,0.015877483174561887
10min,Reactive,lag=1_tu=0.5,0.5,1.267,0.01575330615890515,0.548321617465205,0.015346622603913626
10min,Reactive,lag=1_tu=0.5,0.5,1.333,0.0154468006391119,0.5604969527942413,0.015084138802316778
10min,Reactive,lag=1_tu=0.5,0.5,1.4,0.014969083051621635,0.5729376443060579,0.014744233600713426
10min,Reactive,lag=1_tu=0.5,0.5,1.467,0.014590141657033493,0.5837632539459764,0.014487962089930747
10min,Reactive,lag=1_tu=0.5,0.5,1.533,0.014481188523044485,0.5940528169748602,0.014214708382296248
10min,Reactive,lag=1_tu=0.5,0.5,1.6,0.014213594836818735,0.6031128892078451,0.014009006079916767
10min,Reactive,lag=1_tu=0.6,0.6,1.0,0.026215800239816622,0.3936962538730073,0.019850475385394264
10min,Reactive,lag=1_tu=0.6,0.6,1.067,0.022734687744508493,0.4239771539323527,0.01880550420577894
10min,Reactive,lag=1_tu=0.6,0.6,1.133,0.020932171884943097,0.4486567940807061,0.018111208133804617
10min,Reactive,lag=1_tu=0.6,0.6,1.2,0.02013238404423258,0.4674285318934534,0.017681108597810486
10min,Reactive,lag=1_tu=0.6,0.6,1.267,0.019595999384594387,0.4906281724540692,0.01694027840352254
10min,Reactive,lag=1_tu=0.6,0.6,1.333,0.01877226580015002,0.5077891460150126,0.01648910352579436
10min,Reactive,lag=1_tu=0.6,0.6,1.4,0.017734217809287717,0.5239213191561699,0.016039873617620146
10min,Reactive,lag=1_tu=0.6,0.6,1.467,0.017344500830019344,0.5368294905037555,0.01574052248268687
10min,Reactive,lag=1_tu=0.6,0.6,1.533,0.01573654413829146,0.5497536331558407,0.015321483146693668
10min,Reactive,lag=1_tu=0.6,0.6,1.6,0.015444406064738516,0.5617762099796305,0.015026979920947148
10min,Reactive,lag=1_tu=0.7,0.7,1.0,0.03956734830221684,0.3138914423354301,0.023028700783561465
10min,Reactive,lag=1_tu=0.7,0.7,1.067,0.02932635235084346,0.35217836886238835,0.021078012438515738
10min,Reactive,lag=1_tu=0.7,0.7,1.133,0.027662123161341035,0.38015245986125357,0.020258773844746145
10min,Reactive,lag=1_tu=0.7,0.7,1.2,0.025475876758440725,0.4079359630974067,0.01938333433968574
10min,Reactive,lag=1_tu=0.7,0.7,1.267,0.022528754348397403,0.431826260824392,0.01861492621888629
10min,Reactive,lag=1_tu=0.7,0.7,1.333,0.020693313091197964,0.45286156149463525,0.017999619134320178
10min,Reactive,lag=1_tu=0.7,0.7,1.4,0.020149744708439617,0.4733865371399511,0.017397636542668567
10min,Reactive,lag=1_tu=0.7,0.7,1.467,0.019724109113570473,0.4882828408088054,0.01700187878253034
10min,Reactive,lag=1_tu=0.7,0.7,1.533,0.01887942300335899,0.5026870037945268,0.016610939902182546
10min,Reactive,lag=1_tu=0.7,0.7,1.6,0.01789704886667788,0.5173118254223218,0.01621834634624406
10min,Reactive,lag=1_tu=0.8,0.8,1.0,0.06161419455797055,0.2292367143953945,0.027938645790273064
10min,Reactive,lag=1_tu=0.8,0.8,1.067,0.0458764531324924,0.27185679665352797,0.02506061337953265
10min,Reactive,lag=1_tu=0.8,0.8,1.133,0.040522783477197365,0.3086611578161068,0.023255478427675
10min,Reactive,lag=1_tu=0.8,0.8,1.2,0.038026439692943725,0.33410086832293845,0.022413219522617385
10min,Reactive,lag=1_tu=0.8,0.8,1.267,0.02849184318171886,0.3687766098488463,0.020629566324042378
10min,Reactive,lag=1_tu=0.8,0.8,1.333,0.026243936488703896,0.3939536968686496,0.01984542427043321
10min,Reactive,lag=1_tu=0.8,0.8,1.4,0.025221453231268592,0.4152423864558443,0.01920494869925081
10min,Reactive,lag=1_tu=0.8,0.8,1.467,0.02238088938084089,0.43571746969821995,0.018529899117041882
10min,Reactive,lag=1_tu=0.8,0.8,1.533,0.020617883998436344,0.4546651717038053,0.01795433327604866
10min,Reactive,lag=1_tu=0.8,0.8,1.6,0.020120411172365654,0.46935905639795034,0.017595094496490927
10min,Reactive,lag=2_tu=0.5,0.5,1.0,0.024210942845700214,0.4692561634143722,0.0207903601503026
10min,Reactive,lag=2_tu=0.5,0.5,1.067,0.023195643311385062,0.4954812844729928,0.019630548678814114
10min,Reactive,lag=2_tu=0.5,0.5,1.133,0.021295548546104236,0.5165874642031363,0.01883642051286815
10min,Reactive,lag=2_tu=0.5,0.5,1.2,0.020661584980750616,0.5324525043428621,0.018313252732246783
10min,Reactive,lag=2_tu=0.5,0.5,1.267,0.018403501346648764,0.5493493703621951,0.017587111412500755
10min,Reactive,lag=2_tu=0.5,0.5,1.333,0.017979661682559656,0.5614529381526477,0.017226479221919284
10min,Reactive,lag=2_tu=0.5,0.5,1.4,0.017328337452998995,0.573810707949107,0.016758438264924593
10min,Reactive,lag=2_tu=0.5,0.5,1.467,0.016817694467874688,0.584572854768093,0.016404831188254473
10min,Reactive,lag=2_tu=0.5,0.5,1.533,0.01667282271828491,0.5947987073305918,0.016025997566175412
10min,Reactive,lag=2_tu=0.5,0.5,1.6,0.01628849353135665,0.6038111667999118,0.015743744745679265
10min,Reactive,lag=2_tu=0.6,0.6,1.0,0.03239559805392941,0.39610386846863654,0.023742620727453447
10min,Reactive,lag=2_tu=0.6,0.6,1.067,0.027774668156890118,0.4260395353769901,0.02231855466119211
10min,Reactive,lag=2_tu=0.6,0.6,1.133,0.025342379237124523,0.45048555001467605,0.021368045137227763
10min,Reactive,lag=2_tu=0.6,0.6,1.2,0.024243868243334254,0.4691087744086663,0.02078028694977682
10min,Reactive,lag=2_tu=0.6,0.6,1.267,0.02351531899023193,0.49209422866584146,0.01976968657541373
10min,Reactive,lag=2_tu=0.6,0.6,1.333,0.02240423648098139,0.5091200834449869,0.019148515552789378
10min,Reactive,lag=2_tu=0.6,0.6,1.4,0.02101358741363818,0.5251274821201001,0.01853277302727834
10min,Reactive,lag=2_tu=0.6,0.6,1.467,0.02048797833868022,0.5379518441701001,0.018125577684986925
10min,Reactive,lag=2_tu=0.6,0.6,1.533,0.018378358315728222,0.5507738936960009,0.01755276963664485
