target_util,tolerance,safety_margin,horizon,violation_rate,waste_rate,waste_cost_ph,viol_cost_ph,total_cost_ph
0.3004,0.0151,1.4917,120min,0.02566,0.710864,0.035543200000000004,0.01283,0.048373200000000005
0.3004,0.0151,1.4917,120min,0.02566,0.710864,0.035543200000000004,0.01283,0.048373200000000005
0.9,0.1961,1.0,30min,0.20306,0.325859,0.01629295,0.10153,0.11782295
0.8566,0.0858,1.0029,10min,0.16142,0.355565,0.017778250000000002,0.08071,0.09848825
0.8271,0.1081,1.4525,30min,0.07218,0.514996,0.025749800000000003,0.03609,0.0618398
0.4582,0.0756,1.2898,10min,0.04126,0.629474,0.0314737,0.02063,0.0521037
0.8991,0.1454,1.3066,10min,0.10098,0.444745,0.02223725,0.05049,0.07272725
0.896,0.1961,1.0,10min,0.19374,0.328481,0.016424050000000003,0.09687,0.11329405000000001
0.4407,0.0818,1.3416,10min,0.03884,0.643034,0.0321517,0.01942,0.0515717
0.8722,0.0852,1.4897,10min,0.07586,0.506431,0.025321549999999998,0.03793,0.06325154999999999
0.8655,0.2074,1.0493,10min,0.15422,0.36569,0.018284500000000002,0.07711,0.0953945
0.3319,0.0966,1.3437,10min,0.03152,0.682679,0.03413395,0.01576,0.049893950000000006
0.7887,0.0148,1.0495,10min,0.1182,0.416993,0.02084965,0.0591,0.07994965
0.6893,0.0705,1.4802,10min,0.0559,0.573112,0.0286556,0.02795,0.0566056
0.8257,0.0751,1.0037,10min,0.14568,0.373269,0.01866345,0.07284,0.09150345
0.8964,0.0824,1.4932,30min,0.07832,0.498372,0.0249186,0.03916,0.0640786
0.5224,0.0319,1.2925,10min,0.04668,0.606239,0.03031195,0.02334,0.053651950000000004
0.7956,0.1038,1.0146,10min,0.13132,0.392557,0.019627850000000002,0.06566,0.08528785
0.8993,0.1287,1.0061,10min,0.18652,0.332493,0.01662465,0.09326,0.10988465
0.7956,0.1969,1.0002,10min,0.13974,0.382195,0.019109750000000002,0.06987,0.08897975
0.8978,0.1086,1.0285,10min,0.1732,0.344403,0.01722015,0.0866,0.10382015
0.3004,0.0519,1.0534,120min,0.0331,0.670087,0.03350435,0.01655,0.05005435
0.7545,0.0136,1.4836,10min,0.06148,0.553041,0.02765205,0.03074,0.05839205
0.4497,0.0818,1.4756,10min,0.0365,0.654627,0.03273135,0.01825,0.050981349999999995
0.4646,0.1932,1.0589,10min,0.05276,0.584323,0.029216150000000003,0.02638,0.055596150000000004
0.8593,0.0852,1.0366,10min,0.1497,0.368843,0.01844215,0.07485,0.09329215
0.878,0.1268,1.0003,10min,0.17692,0.340847,0.01704235,0.08846,0.10550235
0.3003,0.0758,1.4717,30min,0.02816,0.705322,0.0352661,0.01408,0.049346100000000004
0.8705,0.0148,1.0019,10min,0.16512,0.353204,0.0176602,0.08256,0.1002202
0.8999,0.1454,1.2491,30min,0.11422,0.425666,0.0212833,0.05711,0.0783933
0.6893,0.0707,1.0613,10min,0.0884,0.471146,0.023557300000000003,0.0442,0.0677573
0.8882,0.0397,1.2328,10min,0.10978,0.432892,0.0216446,0.05489,0.07653460000000001
0.6819,0.078,1.421,10min,0.05788,0.565402,0.0282701,0.02894,0.0572101
0.6728,0.1083,1.0146,10min,0.09172,0.461512,0.0230756,0.04586,0.0689356
0.8979,0.1406,1.0,10min,0.19034,0.329471,0.01647355,0.09517,0.11164355000000001
0.7906,0.139,1.0029,10min,0.13426,0.388815,0.019440750000000003,0.06713,0.08657075
0.8116,0.0594,1.0732,10min,0.12066,0.411405,0.02057025,0.06033,0.08090025
0.7851,0.0136,1.4836,10min,0.06448,0.541597,0.027079850000000003,0.03224,0.05931985
0.6678,0.1388,1.0028,10min,0.09338,0.458619,0.022930950000000002,0.04669,0.06962095
0.8188,0.0598,1.0543,10min,0.12648,0.400103,0.02000515,0.06324,0.08324515
0.819,0.0598,1.0533,10min,0.12712,0.399543,0.01997715,0.06356,0.08353715
0.4497,0.0818,1.1936,10min,0.04354,0.61847,0.0309235,0.02177,0.052693500000000004
0.4497,0.0818,1.1936,10min,0.04354,0.61847,0.0309235,0.02177,0.052693500000000004
0.5243,0.0762,1.2783,10min,0.04782,0.601667,0.03008335,0.02391,0.053993349999999996
0.6893,0.0849,1.0613,10min,0.0887,0.470372,0.0235186,0.04435,0.0678686
0.8996,0.0901,1.1851,10min,0.12242,0.407531,0.02037655,0.06121,0.08158655000000001
0.3004,0.0111,1.0534,120min,0.03296,0.671216,0.0335608,0.01648,0.0500408
0.3016,0.0966,1.3437,10min,0.02936,0.693639,0.03468195,0.01468,0.04936195
0.3106,0.1279,1.0038,10min,0.03704,0.651316,0.0325658,0.01852,0.0510858
0.8882,0.0397,1.2328,10min,0.10978,0.432892,0.0216446,0.05489,0.07653460000000001
